activitePrincipaleUniteLegale,count
47.99A,5971
48.04,11
33.20A,488
45.20B,91
25.73B,16
58.19Z,26
14.31Z,2
31.03Z,3
71.3E,3
64.11,1212
70.3A,379
87.30A,42
61.10Z,115
15.8P,11
93.0A,18
34.2A,19
45.3H,10
95.13,2
63.99Z,10
55.3A,1489
46.45Z,112
65.12Z,299
01.56,8
93.21,3
45.1B,17
33.03,2
92.14,6
43.22A,611
95.12Z,89
47.04,135
74.09,9
15.5A,1
26.3Z,1
90.0E,3
22.1E,20
31.01Z,23
51.9B,49
32.2B,7
71.1A,27
51.3Q,3
25.62A,6
16.01,12
67.05,80
41.10A,378
64.40,75
26.2A,14
28.11,2
93.0D,686
58.01,19
23.65Z,1
92.13,4
89.05,6
02.10Z,135
01.1F,243
43.11Z,62
14.39Z,21
11.01Z,35
60.2N,20
25.91Z,1
01.44Z,3
73.08,1
84.11,157
01.11Z,1473
52.3A,120
47.79Z,404
23.19Z,36
38.22Z,25
67.12,11
28.30Z,14
01.60,3
27.4D,1
65.02,210
49.41A,597
46.23Z,62
77.01,185
24.06,3
23.99Z,27
28.15,6
09.90Z,5
29.4C,1
23.01,1
99.00Z,8
24.3Z,3
21.09,2
64.23,154
92.3A,300
52.4Z,539
95.29Z,869
43.99A,236
44.23,1
90.13,16
25.2A,15
47.65Z,126
60.01,12
46.36Z,14
44.18,11
29.4B,1
85.02,2
29.5B,1
55.40,328
68.20A,13247
64.49,298
51.3A,59
85.1E,211
51.3J,90
60.11,6
05.0A,10
14.2A,25
01.50,29
60.20B,11
60.2E,248
45.3E,161
49.32Z,954
80.04,18
90.0G,3
46.46Z,116
84.24Z,43
53.05,6
18.1Z,1
24.11,1
44.25,1
55.60,915
45.2J,288
36.6E,63
55.31,25
52.22Z,10
45.2R,2
56.30Z,1635
15.8D,129
86.22A,176
22.19Z,10
18.20Z,12
80.30Z,44
64.1C,37
75.04,6
85.10Z,3
31.2B,3
74.5A,27
32.99Z,210
36.2C,5
21.08,239
72.2Z,104
15.8B,81
99.0Z,1
46.11Z,18
01.2E,17
92.15,3
82.04,1
49.01,113
52.21Z,208
36.00Z,144
29.1D,11
91.02,4
56.21Z,731
95.11Z,615
52.29A,84
17.29Z,19
54.05,7
96.21,2
28.12,8
45.2C,1
21.16,1
85.1C,672
62.11,663
20.4Z,9
30.99Z,2
23.49Z,4
50.2Z,353
46.49Z,397
54.04,17
47.77Z,248
58.05,19
64.44,24
92.3J,4
64.11Z,4
45.4J,598
47.52A,278
11.07B,5
01.47Z,92
78.20Z,802
13.30Z,33
55.13,6
18.2G,5
80.2C,2
86.90C,38
77.32Z,187
73.20Z,74
51.1G,12
70.02,30
15.13,2
52.4V,118
81.22Z,329
52.4Y,59
27.5G,3
43.34Z,2532
80.4D,171
22.1G,8
95.21Z,47
88.99A,57
80.20Z,111
93.19Z,298
81.29B,95
28.10,5
92.5A,5
36.4Z,12
21.02,8
17.4A,2
25.61Z,106
52.4X,273
93.0N,353
46.74A,80
54.08,18
72.20Z,50
28.11Z,3
92.5C,7
49.20Z,33
42.91Z,8
33.1A,1
17.5C,1
47.02,8
