activitePrincipaleUniteLegale,count
47.99A,2329
58.19Z,43
33.20A,82
45.20B,48
71.3E,1
48.04,3
25.73B,7
31.03Z,7
14.31Z,1
64.11,797
70.3A,243
63.99Z,7
61.10Z,50
87.30A,34
34.2A,3
03.40,8
95.13,1
45.3H,5
10.31Z,1
15.8P,6
93.0A,5
55.3A,1587
65.12Z,344
01.56,17
46.45Z,33
45.1B,6
92.14,2
43.22A,1042
47.04,186
01.63Z,6
90.0E,4
15.5A,8
95.12Z,37
74.09,6
22.1E,23
32.2B,6
31.01Z,22
51.9B,7
71.1A,5
25.62A,1
51.3Q,1
67.05,215
64.40,40
26.2A,7
41.10A,149
16.01,6
93.0D,378
58.01,10
89.05,15
92.13,2
02.10Z,205
11.01Z,11
14.39Z,15
01.1F,26
01.44Z,4
43.11Z,20
60.2N,15
73.08,2
25.91Z,1
52.3A,99
01.11Z,2746
47.79Z,478
23.19Z,28
84.11,72
01.60,48
67.12,11
28.30Z,34
00.97,23
38.22Z,7
49.41A,430
65.02,114
77.01,65
46.23Z,78
23.99Z,17
24.06,2
28.15,3
24.3Z,4
95.29Z,481
92.3A,226
47.65Z,61
43.99A,73
60.01,45
64.23,82
52.4Z,385
25.2A,1
46.36Z,8
90.13,4
44.18,2
44.23,3
29.4B,2
85.02,1
55.40,238
64.49,300
68.20A,4477
85.1E,98
05.0A,233
01.50,50
51.3J,42
51.3A,30
14.2A,6
45.3E,310
49.32Z,495
84.24Z,8
60.2E,153
80.04,11
46.46Z,62
53.05,7
80.07,1
18.1Z,1
55.60,899
45.2J,278
36.6E,22
52.22Z,14
55.31,22
45.2R,1
56.30Z,1961
15.8D,85
22.19Z,12
86.22A,107
64.1C,17
80.30Z,25
85.10Z,2
75.04,1
18.20Z,1
15.5B,1
32.99Z,157
74.5A,57
36.2C,5
01.2E,373
46.11Z,80
15.8B,106
72.2Z,43
21.08,64
95.24,3
82.04,2
36.00Z,97
49.01,106
52.21Z,54
91.02,1
17.29Z,15
95.11Z,311
96.21,1
56.21Z,268
52.29A,30
28.12,1
85.3A,5
54.05,4
85.1C,389
62.11,413
20.4Z,6
23.49Z,6
22.01,5
30.99Z,2
50.2Z,257
47.77Z,148
46.49Z,234
54.04,10
64.44,21
58.05,6
92.3J,3
64.11Z,2
45.4J,444
47.52A,137
01.47Z,1734
80.2C,5
78.20Z,286
13.30Z,15
18.2G,5
11.07B,5
55.13,1
86.90C,1
73.20Z,51
77.32Z,68
15.13,1
51.1G,7
89.06,1
81.22Z,156
52.4V,63
52.4Y,21
43.34Z,1533
22.1G,5
88.99A,30
80.4D,105
95.21Z,61
93.19Z,315
81.29B,28
36.4Z,5
15.9J,8
80.20Z,36
21.02,5
92.5A,7
17.4A,4
28.10,1
93.0N,227
52.4X,160
72.20Z,16
25.61Z,46
46.74A,35
42.91Z,7
54.08,18
47.02,8
79.02,8
92.5C,7
17.5C,3
49.20Z,2
11.04Z,2
28.11Z,1
64.20Z,2204
87.10A,55
52.7H,65
46.13Z,32
25.12Z,25
20.1B,4
24.20Z,5
85.31Z,135
86.90E,3107
90.01Z,1443
01.43Z,392
46.71Z,94
52.29B,41
71.3G,19
03.22Z,24
58.08,8
74.3B,16
48.07,6
17.5G,5
51.5C,1
77.10,64
29.3C,78
71.20A,101
38.11Z,60
82.20Z,46
46.73B,66
59.13,22
51.5A,12
66.0A,4
31.13,3
62.1Z,2
01.07,128
80.4C,62
47.82Z,547
43.32B,255
47.75Z,114
94.91Z,229
94.92Z,6
77.12Z,43
51.8P,15
52.2G,54
38.31Z,18
42.22Z,41
15.07,3
15.8T,3
56.10C,1639
74.10Z,475
74.90A,126
52.4R,193
33.20C,44
32.03,10
88.04,2
54.02,1
82.11Z,252
10.32Z,6
29.1A,2
43.91A,293
87.20A,5
22.3C,1
60.20A,2
51.8L,7
55.4C,21
93.13Z,40
46.44Z,21
61.1A,3
81.30Z,1393
64.41,142
86.10Z,217
49.05,75
25.72Z,5
28.5A,8
32.05,6
10.73Z,6
45.4L,8
58.07,3
20.16Z,2
84.11Z,3157
01.4B,142
50.4Z,48
43.99B,30
64.42,40
42.21Z,22
23.31Z,7
59.11,14
29.3D,33
28.21Z,6
80.2A,13
20.42Z,41
22.23Z,19
74.06,2
50.1Z,290
46.12B,13
52.7C,27
63.3Z,36
35.13Z,23
90.0A,22
20.15Z,24
79.12Z,26
36.5Z,7
25.2G,4
29.13,2
36.6C,1
26.12Z,20
60.2P,9
17.7C,7
85.01,5
63.4B,5
33.3Z,11
77.08,81
83.01,3
71.2E,4
15.5C,5
28.6C,5
01.21Z,15
10.13B,133
55.2C,76
66.30Z,344
13.91Z,4
55.20,4
10.01,1
"",112
45.4D,93
95.22Z,74
54.07,3
64.45,62
60.04,12
35.23Z,5
17.19,2
14.20Z,2
70.2B,819
55.5A,64
95.11,18
23.20Z,3
18.2D,7
71.2C,7
20.14Z,9
51.30,2
77.14,146
85.1G,671
29.32Z,18
89.07,5
92.1J,9
17.21B,4
33.11Z,26
17.3Z,1
59.05,1
01.3Z,3178
43.39Z,437
01.4A,679
43.12B,24
22.29B,15
10.52Z,14
96.16,3
37.02,2
34.3Z,4
29.2L,2
17.2C,2
55.20Z,1398
87.01,96
02.10,1
43.22B,313
93.12Z,2085
