categorieJuridiqueUniteLegale,count
3210,20
2110,1966
7362,41
6558,3
3200,6
2700,53
7378,2
7364,235
2200,444
5498,34641
7353,30
5306,277
6300,14
5458,71
5546,14
5520,346
7160,30
9221,21
6538,12
6571,28
4130,349
5415,1
8110,28
7351,6
2100,50
8490,44
2385,13
5654,1
5599,31109
9110,10226
8300,1
5515,148
7490,14
6100,80
5525,4
5195,2
8150,1
8290,4
5192,65
5510,208
6568,4
5308,244
9300,190
6567,1
3110,19
6577,6
4150,3
5499,162040
7171,43
5660,2
2210,1404
6573,40
5669,2
6210,72
6536,225
8200,5
4160,8
7382,2
6200,82
7321,29
9220,25659
8420,124
5699,1419
4140,94
2300,39
7373,1
6500,157
5307,2
6521,77
2900,1305
5191,16
8170,24
6317,11
5710,65685
5770,50
5453,1
5651,3
6575,18
5630,3
5400,304
7385,42
5194,47
7361,190
1000,317188
7363,4
7348,18
5551,18
9240,38
7220,57
5658,3
7345,29
7450,7
5532,3
5203,1
9230,394
6901,4
6572,34
7354,10
8410,123
9200,9
7179,27
5558,60
9260,5
3220,2033
6220,2386
6565,35
7383,106
5542,1
4110,25
5720,44756
6574,6
5300,1
7120,76
5200,71
6599,19104
6578,54
5552,12
7229,19
8450,78
6589,1427
7331,227
7366,34
4100,7
5100,1
8250,4
6318,4
6596,76
9900,1113
5410,22
8470,15
6595,28
5620,28
7113,4
6411,137
4120,226
7365,2
9150,72
6562,3
7112,3
7230,3
6560,15
5585,28
7346,1
6542,46
5659,1
8210,186
5785,292
6543,26
8120,14
5560,161
7210,1110
5646,4
5530,7
5505,1
5610,39
6551,1
8100,1
6511,9
5455,1
6566,3
6598,10
7355,13
5460,101
7389,206
5652,1
7200,1
5470,124
5385,9
6561,46
5685,14
7410,36
5202,11402
6569,5
6554,1
2120,55
2220,47
7130,2
6585,79
6539,5
5547,6
6540,53583
9222,22
5800,56
9100,2
9224,12
5459,2
2320,5
3205,11
5559,13
7381,25
7190,2
7510,1
5485,1490
5500,88
8510,11
5522,6
8311,301
6564,42
7384,10
6597,50
9210,83
8520,1
3290,168
6541,5140
7172,465
2310,26
8130,100
9970,12
7371,27
6535,1
7372,1
7322,2
8400,1
5309,3
8310,551
9223,3
7100,1
6534,121
7470,2
6576,33
8190,13
3120,2686
