categorieJuridiqueUniteLegale,count
7362,198
2110,332
2700,11
7378,2
7364,39
5498,1856
2200,116
7353,119
5306,3
6300,10
5458,15
5546,4
9221,2
6538,1
6571,24
6533,1607
4130,185
8110,14
7351,3
2385,9
2100,7
8490,4
5599,694
5553,3
9110,385
5515,18
6100,6
7323,87
7313,30
8290,3
5192,11
5510,52
5308,26
9300,5
8160,5
4150,7
6577,6
5499,5508
7171,32
5432,5
7379,6
5660,22
2210,459
6573,20
5669,1
6536,74
8200,4
4160,2
7321,75
6200,10
9220,4129
8420,13
4140,32
5699,33
2300,2
7312,9
6500,12
2900,70
5191,2
8170,5
6317,126
5710,2390
5453,9
6575,4
5400,13
7385,6
5194,4
7361,291
1000,41918
5551,1
7348,10
9240,14
7220,19
7345,31
5532,2
9230,33
6901,2
6572,8
7356,2
7354,19
8410,12
9200,2
7179,3
7341,3
9260,3
6220,85
3220,9
6565,21
7383,7
6537,5
4110,1
5720,1098
6574,4
5200,6
7120,4
6599,947
6578,4
8450,11
7366,30
6589,151
7331,53
8250,29
6596,134
6318,41
9900,39
8470,1
8140,4
6595,3
4120,68
6411,13
9150,24
6562,5
6560,2
7346,116
6542,2
8210,46
5785,16
8120,2
7210,1195
5560,13
5505,1
5530,2
6551,1
5610,1
6598,559
7355,20
5460,4
7389,42
6561,1
5685,2
7410,4
5202,391
2120,7
2220,5
6532,4
6585,7
7520,19
6316,341
6540,2382
9222,12
7381,14
7510,21
5485,99
5500,12
8311,2
6564,12
7384,2
6597,64
9210,10
5548,1
6541,141
7172,163
2310,7
9970,3
6535,2
7372,2
8310,23
9223,129
6534,195
6576,10
7470,2
3120,25
