categorieJuridiqueUniteLegale,count
2110,642
7362,51
2700,13
7364,77
5498,3591
2200,242
7353,189
5306,20
6300,2
5458,22
5546,2
7160,1
6538,3
9221,6
6571,22
6533,231
5415,1
4130,195
8110,19
7351,5
2100,51
8490,22
2385,7
5599,1166
5553,1
9110,796
5515,35
6100,2
7490,1
5615,11
7323,35
8290,1
5192,32
5510,81
6568,2
5308,22
9300,13
8160,1
5443,1
6567,1
4150,20
6577,13
5499,11412
7171,24
7379,4
2210,637
6573,14
6536,19
6210,5
8200,1
4160,1
7321,116
6200,3
9220,6079
8420,34
5699,84
2300,5
4140,29
7373,1
6500,16
6521,1
2900,150
5191,1
8170,9
6317,69
5710,3130
5453,12
5770,7
6575,9
5400,24
7385,13
5194,2
7361,493
1000,70563
5551,1
7348,11
9240,14
7220,35
5658,1
7345,89
5532,10
7450,7
5203,1
9230,70
7356,25
6572,3
8410,28
7354,59
7179,11
5558,10
9260,4
3220,55
6220,117
6565,11
7383,15
6537,7
4110,3
5720,1575
6574,3
5300,1
5200,21
7120,5
6599,737
6578,5
5552,2
8450,12
7331,53
6589,431
7366,52
8250,26
6318,30
6596,62
9900,80
8470,1
5410,2
8140,3
6595,11
4120,66
6411,24
9150,12
6562,4
6560,2
7346,149
5585,3
6542,7
8210,94
5785,29
6543,6
8120,1
7210,1296
5560,9
5530,3
5451,1
8100,1
5610,1
6511,4
6598,381
5460,32
7355,26
7200,5
7389,50
5470,22
5385,1
6561,11
7410,12
5202,569
2120,15
2220,7
6532,2
7520,43
6585,13
6316,234
5547,6
6540,7319
9222,17
5800,2
9224,1
2320,3
7381,25
7510,71
5485,200
5500,17
8311,9
6564,10
7384,4
6597,160
9210,16
3290,1
6541,197
7172,175
8130,3
2310,14
7371,2
7372,1
8400,2
8310,34
7367,2
7357,7
9223,53
6534,69
7470,2
6576,16
3120,30
