activitePrincipaleUniteLegale,count
47.99A,463
33.20A,18
45.20B,13
48.04,3
58.19Z,8
31.03Z,1
64.11,273
70.3A,137
61.10Z,20
93.0A,2
87.30A,17
34.2A,6
63.99Z,4
55.3A,516
65.12Z,116
46.45Z,21
45.1B,3
93.21,1
01.56,1
43.22A,446
47.04,58
95.12Z,5
74.09,3
15.5A,1
22.1E,10
71.1A,6
31.01Z,3
51.3Q,3
51.9B,2
32.2B,3
64.40,24
41.10A,41
67.05,26
26.2A,13
16.01,1
58.01,2
89.05,6
93.0D,148
92.13,2
11.01Z,41
02.10Z,119
01.1F,51
14.39Z,7
43.11Z,3
01.44Z,5
73.08,1
60.2N,1
47.79Z,216
01.11Z,2038
00.97,224
52.3A,36
23.19Z,18
67.12,8
84.11,26
01.60,1
28.30Z,6
46.23Z,126
65.02,78
49.41A,64
77.01,40
28.15,2
23.99Z,5
23.01,1
44.22,1
09.90Z,1
29.4C,2
21.09,2
92.3A,121
95.29Z,223
52.4Z,140
64.23,36
47.65Z,35
44.18,4
43.99A,7
60.01,9
46.36Z,2
90.13,2
25.2A,1
29.4B,1
64.49,94
85.1E,45
68.20A,2269
55.40,110
05.0A,3
51.3J,54
51.3A,28
14.2A,7
60.20B,2
01.50,12
60.11,1
49.32Z,162
45.3E,127
60.2E,50
46.46Z,7
53.05,4
90.0G,1
80.04,4
84.24Z,4
24.11,1
36.6E,16
55.60,514
52.22Z,2
45.2J,32
56.30Z,324
15.8D,37
75.04,2
85.10Z,5
80.30Z,5
86.22A,17
22.19Z,2
64.1C,1
18.20Z,1
32.99Z,85
74.5A,12
36.2C,9
46.11Z,10
01.2E,20
15.8B,21
21.08,18
72.2Z,8
36.00Z,67
49.01,55
52.21Z,48
91.02,1
95.11Z,129
56.21Z,128
52.29A,17
17.29Z,11
21.16,1
28.12,5
54.05,4
96.21,2
45.2C,1
20.4Z,10
62.11,315
85.1C,115
22.01,2
23.49Z,1
30.99Z,1
46.49Z,58
50.2Z,115
58.05,1
47.77Z,39
54.04,4
64.11Z,1
64.44,8
92.3J,1
45.4J,159
01.47Z,242
47.52A,71
78.20Z,45
13.30Z,12
11.07B,1
18.2G,4
80.2C,1
55.13,2
86.90C,1
73.20Z,13
51.1G,8
77.32Z,32
52.4Y,7
52.4V,21
81.22Z,38
22.1G,1
43.34Z,585
80.4D,25
95.21Z,21
29.5M,2
44.32,1
88.99A,2
93.19Z,189
21.02,2
81.29B,45
80.20Z,19
36.4Z,3
17.4A,1
92.5C,11
93.0N,69
52.4X,46
25.61Z,13
72.20Z,11
47.02,2
54.08,11
