activitePrincipaleUniteLegale,count
47.99A,4119
33.20A,504
58.19Z,75
45.20B,112
25.73B,29
31.03Z,13
48.04,7
14.31Z,4
71.3E,1
64.11,1835
70.3A,679
87.30A,49
63.99Z,39
45.3H,11
10.31Z,5
61.10Z,176
15.8P,26
34.2A,37
93.0A,13
95.13,3
55.3A,2690
46.45Z,98
65.12Z,655
45.1B,10
93.21,4
92.14,16
01.56,5
43.22A,1703
47.04,204
95.12Z,52
74.09,7
01.63Z,1
90.0E,7
26.3Z,1
15.5A,1
22.1E,56
51.9B,23
51.3Q,22
31.01Z,32
32.2B,17
25.62A,5
71.1A,23
24.01,3
64.40,110
41.10A,379
67.05,496
28.11,2
16.01,7
26.2A,15
93.0D,741
89.05,15
92.13,7
58.01,8
02.10Z,297
01.1F,53
43.11Z,47
01.44Z,2
60.2N,23
11.01Z,20
14.39Z,19
73.08,8
25.91Z,2
01.11Z,2755
00.97,797
47.79Z,801
23.19Z,40
52.3A,182
84.11,124
28.30Z,13
67.12,17
38.22Z,26
01.60,2
27.4D,1
65.02,294
77.01,340
46.23Z,80
49.41A,1016
23.99Z,22
09.90Z,3
21.09,6
23.01,5
24.3Z,10
99.00Z,6
28.15,6
44.22,1
92.3A,432
64.23,288
47.65Z,138
43.99A,200
95.29Z,875
52.4Z,726
46.36Z,24
25.2A,12
60.01,20
90.13,4
44.18,9
29.4B,1
44.23,1
44.20,2
85.02,1
68.20A,16342
64.49,753
05.0A,149
85.1E,213
51.3A,34
55.40,386
01.50,38
51.3J,76
14.2A,22
60.11,7
60.20B,4
45.3E,390
49.32Z,1579
60.2E,462
46.46Z,129
53.05,5
80.04,33
84.24Z,52
18.1Z,3
55.60,1177
45.2J,303
36.6E,43
55.31,7
52.22Z,164
73.09,1
45.2R,6
22.19Z,31
56.30Z,2712
15.8D,119
86.22A,410
18.20Z,16
80.30Z,29
64.1C,18
75.04,5
31.2B,3
32.99Z,270
74.5A,50
36.2C,18
21.08,120
72.2Z,103
15.8B,100
01.2E,20
46.11Z,47
99.0Z,5
92.15,4
82.04,7
49.01,81
36.00Z,208
52.21Z,229
91.02,8
29.1D,2
56.21Z,664
95.11Z,583
52.29A,104
17.29Z,38
28.12,10
45.2C,4
54.05,6
85.3A,2
96.21,1
85.1C,952
62.11,946
30.99Z,2
23.49Z,14
20.4Z,23
22.01,2
50.2Z,426
46.49Z,415
64.44,38
47.77Z,282
54.04,24
58.05,6
92.3J,9
64.11Z,4
45.4J,609
47.52A,259
01.47Z,141
78.20Z,709
55.13,3
18.2G,60
80.2C,11
11.07B,4
13.30Z,22
86.90C,11
73.20Z,76
70.02,62
77.32Z,212
51.1G,21
52.4Y,65
52.4V,164
81.22Z,385
27.5G,4
80.4D,228
43.34Z,2599
95.21Z,73
88.99A,104
22.1G,14
29.5M,5
21.02,24
93.19Z,498
81.29B,91
15.9J,15
28.10,4
17.4A,11
36.4Z,7
80.20Z,141
92.5A,1
93.0N,522
47.02,27
52.4X,533
25.61Z,123
72.20Z,56
54.08,6
46.74A,75
42.91Z,27
28.11Z,5
33.1A,5
49.20Z,14
92.5C,4
79.02,3
11.04Z,4
17.5C,4
64.20Z,3758
25.12Z,63
52.7H,107
46.13Z,49
87.10A,134
24.20Z,8
20.1B,7
86.90E,4951
90.01Z,3042
74.3B,79
52.29B,1212
01.43Z,556
46.71Z,174
85.31Z,258
51.5C,16
17.5G,8
71.3G,43
58.08,5
03.22Z,18
48.07,9
01.74,1
71.20A,228
82.20Z,105
77.10,207
46.73B,149
29.3C,28
66.0A,6
51.5A,14
38.11Z,135
59.13,33
31.13,9
44.41,4
25.01,2
62.1Z,3
47.82Z,1532
80.4C,284
43.32B,516
17.12Z,9
01.07,69
40.1Z,1
17.7A,1
94.91Z,436
47.75Z,351
77.12Z,139
52.2G,75
42.22Z,55
94.92Z,40
38.31Z,28
51.8P,9
15.07,4
15.8T,1
40.33,2
50.03,1
74.10Z,1085
52.4R,614
56.10C,3819
74.90A,314
33.20C,90
88.04,32
54.02,8
01.16,3
32.03,6
28.2A,1
82.11Z,360
43.91A,300
87.20A,75
10.32Z,4
51.8L,28
29.1A,2
06.01,3
60.20A,7
61.1A,313
46.44Z,58
93.13Z,93
55.4C,12
35.3A,1
14.03,2
49.05,142
64.41,152
20.16Z,12
81.30Z,1187
28.5A,60
86.10Z,425
25.72Z,20
32.05,12
45.4L,32
58.07,2
10.73Z,2
17.15,1
84.11Z,4435
59.11,66
43.99B,105
50.4Z,95
64.42,83
01.4B,107
42.21Z,85
92.2F,1
23.31Z,4
29.3D,19
28.21Z,3
17.24Z,1
80.2A,15
22.23Z,56
20.42Z,22
52.1F,7
74.06,31
52.02,4
45.2N,2
90.0A,97
50.1Z,733
25.2G,17
46.12B,23
63.3Z,81
52.7C,59
31.6C,3
20.15Z,17
36.5Z,12
79.12Z,59
29.13,7
35.13Z,28
36.6C,2
60.2P,76
26.12Z,17
17.7C,3
85.01,3
77.08,160
29.21,2
63.4B,28
33.3Z,47
28.6C,7
99.01,6
15.5C,6
83.01,3
71.2E,3
10.13B,337
66.30Z,379
55.2C,46
01.21Z,36
13.91Z,3
55.20,2
18.07,1
60.04,29
64.45,105
54.07,16
45.4D,175
95.22Z,92
"",290
17.19,2
35.23Z,41
14.20Z,1
70.2B,221
20.14Z,24
18.2D,41
51.30,14
55.5A,69
16.0Z,1
71.2C,5
95.11,4
23.20Z,2
84.01,1
77.14,352
85.1G,1019
29.32Z,47
33.11Z,189
17.3Z,8
92.1J,11
97.11,3
89.07,13
17.21B,9
41.08,1
59.05,5
01.3Z,1586
01.4A,269
43.39Z,524
43.12B,40
10.52Z,11
22.29B,50
34.3Z,12
37.02,4
25.1E,1
29.2L,1
96.16,1
64.2D,1
55.20Z,834
87.01,174
02.10,3
24.6G,2
93.12Z,3175
43.22B,864
94.11Z,413
43.29B,165
29.1F,11
69.22,13
25.2H,28
29.4A,4
26.51B,29
72.11Z,43
03.30,8
87.02,3
43.32A,2609
46.42Z,174
01.2G,36
11.02B,1
46.24Z,5
30.0A,1
46.35Z,3
65.1E,1
15.11Z,3
28.1C,50
56.29B,374
00.10,382
44.42,4
15.8M,2
00.30,11
58.10,3
59.12,10
25.62B,311
60.07,48
58.12,121
93.11Z,161
29.1C,2
85.3H,6
33.4A,3
29.31Z,2
28.2B,2
69.25,114
74.1G,725
46.22Z,46
47.01,48
72.5Z,54
58.06,36
72.19Z,180
67.09,112
21.14,1
28.3B,3
91.3C,11
28.93Z,4
85.3E,14
74.30Z,535
57.11,47
51.1A,23
21.11,6
47.11C,168
38.32Z,352
47.11B,1103
79.11Z,241
70.1F,144
84.30B,45
20.13B,10
63.4A,71
36.1G,90
96.03Z,293
52.2P,130
52.2A,221
92.3B,95
47.61Z,167
57.02,85
46.66Z,62
24.4A,3
27.33Z,13
30.02,5
20.5C,2
86.10,35
51.8N,37
65.06,405
46.41Z,59
64.19Z,1063
59.20Z,192
84.30A,92
30.30Z,13
71.1Z,30
45.2L,40
53.04,6
63.01,1
32.1D,1
77.13,23
80.02,26
26.6E,23
32.1B,1
87.06,98
43.32C,102
51.5H,9
71.4A,4
28.7C,2
29.1J,1
55.70,348
01.24Z,152
21.07,20
65.2E,65
59.13B,25
13.92Z,131
23.63Z,66
75.02,1
86.23Z,1358
02.20Z,287
39.00Z,49
49.39A,84
51.8H,19
46.62Z,18
46.38B,81
57.07,16
74.04,13
75.2J,3
17.1A,4
22.3E,2
37.00Z,61
55.4B,1376
03.21Z,26
84.06,5
36.6A,5
21.2C,3
71.12A,127
62.42,113
22.2J,62
67.13,22
46.17B,63
37.01,2
52.6E,1268
25.03,8
86.08,57
96.25,49
41.07,28
29.5E,9
35.3B,6
26.20Z,6
32.91Z,3
28.7E,2
97.22,177
26.7Z,33
10.85Z,32
47.74Z,204
21.2L,3
55.11,2
25.1C,3
74.1J,2306
43.33Z,918
68.32B,91
51.4Q,34
20.41Z,23
73.07,14
65.2A,1
45.5Z,2
47.22Z,938
74.20Z,1089
01.80,152
64.12,181
51.1C,6
67.1E,46
37.2Z,44
85.3B,5
17.2A,5
16.10B,17
44.21,5
14.1A,7
74.08,3
24.2Z,2
56.10A,4481
47.11D,579
64.30Z,355
46.72Z,70
51.3T,42
86.01,15
24.52Z,1
96.02A,3889
86.90D,5198
82.19Z,1374
85.32Z,192
00.31,3
51.1R,195
24.5A,15
36.1E,15
51.4R,7
55.90Z,36
65.2F,2
28.14,1
46.19B,2708
71.2A,51
29.5P,7
78.02,477
55.3B,573
31.09B,415
47.23Z,174
28.4A,14
77.31Z,19
87.10C,40
01.25Z,5
46.69B,735
45.3A,542
85.20Z,58
69.12,427
85.42Z,240
63.05,53
73.12Z,210
57.04,17
21.05,2
48.05,14
31.16,3
30.91Z,2
29.11,18
23.32Z,4
33.19Z,22
51.5N,35
24.1A,3
31.5B,3
55.1E,2
47.11E,6
26.8A,1
70.1C,110
60.05,10
77.04,40
52.4E,205
58.11,22
38.12Z,34
64.24,257
46.76Z,117
01.00,225
51.3C,14
13.02,1
94.12Z,119
10.89Z,32
55.30Z,120
52.7D,28
50.30Z,13
61.01,7
59.07,21
61.20Z,46
51.3N,6
29.5N,14
89.04,7
29.2C,6
47.05,29
43.91B,1411
50.10Z,53
36.10,9
47.53Z,82
87.04,109
15.5F,3
18.3Z,3
14.2C,1
26.51A,13
72.2A,18
29.4D,5
21.10,1
46.64Z,5
81.11,276
94.99Z,9938
67.2Z,579
