activitePrincipaleUniteLegale,count
47.99A,276
45.20B,15
31.03Z,2
58.19Z,9
33.20A,20
25.73B,3
10.62Z,1
48.04,2
64.11,154
61.10Z,18
87.30A,9
70.3A,27
93.0A,2
10.31Z,2
34.2A,2
01.56,16
55.3A,330
65.12Z,87
46.45Z,5
92.14,1
45.1B,1
43.22A,215
47.04,37
01.63Z,1
95.12Z,6
31.01Z,4
22.1E,2
71.1A,1
25.62A,1
51.9B,1
67.05,68
64.40,8
41.10A,7
26.2A,6
89.05,6
93.0D,74
92.13,1
02.10Z,727
11.01Z,9
14.39Z,13
43.11Z,1
01.1F,5
01.44Z,1
60.2N,1
01.11Z,515
00.97,98
47.79Z,148
52.3A,29
84.11,11
67.12,11
01.60,6
23.19Z,15
28.30Z,5
49.41A,47
46.23Z,43
65.02,20
23.99Z,2
77.01,11
21.09,2
24.3Z,1
23.01,1
60.01,10
92.3A,60
95.29Z,171
64.23,15
52.4Z,37
47.65Z,15
43.99A,2
90.13,3
44.18,1
68.20A,412
85.1E,18
55.40,89
64.49,37
01.50,57
51.3J,32
51.3A,11
14.2A,1
05.0A,3
45.3E,60
60.2E,78
49.32Z,166
46.46Z,10
84.24Z,2
55.60,250
45.2J,42
36.6E,4
55.31,3
56.30Z,358
86.22A,21
22.19Z,4
15.8D,13
31.2B,1
64.1C,5
18.20Z,1
80.30Z,1
32.99Z,39
74.5A,25
36.2C,2
01.2E,32
15.8B,7
21.08,18
72.2Z,6
46.11Z,4
49.01,18
36.00Z,49
52.21Z,10
95.11Z,66
56.21Z,43
52.29A,5
17.29Z,2
62.11,99
85.1C,88
20.4Z,8
23.49Z,1
22.01,1
50.2Z,109
46.49Z,15
47.77Z,24
64.11Z,1
92.3J,1
58.05,4
54.04,4
64.44,1
45.4J,129
01.47Z,64
47.52A,51
78.20Z,30
13.30Z,5
80.2C,1
18.2G,1
11.07B,1
86.90C,1
55.13,1
77.32Z,8
73.20Z,3
15.13,1
81.22Z,46
52.4V,17
52.4Y,7
43.34Z,318
95.21Z,10
80.4D,14
88.99A,6
44.32,1
22.1G,1
21.02,1
93.19Z,78
36.4Z,1
15.9J,9
81.29B,18
80.20Z,3
17.4A,2
