categorieJuridiqueUniteLegale,count
2110,393
7362,110
6558,2
2700,18
3200,2
7378,1
7364,182
7353,511
5498,9514
2200,311
5306,84
6300,9
5458,22
5546,6
5520,2
7160,7
6538,13
9221,8
6571,16
6533,283
4130,388
8110,44
7351,117
8490,17
2100,22
2385,23
5599,3959
5553,3
9110,676
5632,2
5515,20
6100,6
7323,248
7313,1
5192,42
5510,167
6568,7
9300,54
5308,32
8160,1
6567,4
"",1
3110,1
6577,14
4150,2
5499,37192
7171,51
7379,2
5432,1
5660,1
2210,696
5669,1
6573,27
6536,161
8200,3
6210,4
4160,4
7382,3
7321,66
6200,30
9220,13349
8420,45
5699,323
2300,6
4140,17
7373,1
6500,64
2900,196
5191,2
8170,16
6317,162
5710,11167
5453,10
5651,1
5770,6
6575,7
5400,96
7385,22
5194,2
7361,758
1000,122854
7363,1
7348,37
5551,53
9240,11
7220,42
7345,102
5532,22
7450,6
9230,209
6572,2
9200,9
8410,35
7354,54
7179,24
5558,18
9260,6
6220,316
3220,267
6565,52
7383,35
4110,9
5720,6414
6574,2
5300,2
7120,9
5200,15
6599,3054
6578,10
5552,5
7229,3
8450,25
6589,679
7331,121
7366,29
8250,12
6318,82
6596,261
9900,73
5410,30
8470,3
8140,4
6595,25
7342,2
4120,212
6411,46
7365,2
9150,13
6562,2
6560,7
7346,136
5585,6
6542,25
8210,95
5785,70
6543,13
8120,3
7210,2437
5560,50
5646,9
5530,6
5451,2
8100,3
5610,2
6511,7
6566,3
6598,1741
7355,25
5460,28
7389,80
5470,49
5385,2
6561,60
5685,2
7410,5
5202,1281
2120,4
2220,19
6532,6
6585,43
7520,5
6539,57
6316,114
5547,4
6540,22761
9222,33
5800,16
9100,1
9224,1
5459,2
2320,3
7381,41
5559,8
7510,91
5485,584
5500,71
8510,1
8311,25
6564,24
7384,5
6597,634
9210,10
3290,17
6541,459
7172,342
8130,7
2310,23
9970,3
7371,1
6535,1
7372,2
7322,1
8400,6
8310,100
7357,1
9223,53
5570,3
6534,546
7470,6
6576,33
3120,224
7340,1
