categorieJuridiqueUniteLegale,count
3210,6
2110,3165
7362,31
7378,5
2700,19
3200,3
7364,151
2200,485
5498,15841
7353,252
5306,55
6300,49
5458,36
5546,2
7160,4
9221,5
6538,8
6571,30
6533,728
4130,349
8110,36
7351,10
2385,21
2100,28
8490,18
5599,5118
5553,14
9110,3727
5632,4
5515,132
7490,10
6100,5
5615,3
7323,17
5195,2
7313,9
8150,1
8290,3
5192,5
5510,156
6568,4
8160,2
9300,43
5308,48
3110,3
6577,13
4150,38
5499,51915
7171,62
7379,5
5432,5
5660,69
2210,2760
6573,55
5669,1
6536,61
6210,12
4160,3
7321,71
6200,21
9220,13264
5196,1
8420,105
5699,312
2300,8
4140,68
7373,1
7312,6
6500,141
6521,1
2900,398
5191,10
8170,13
6317,331
5710,15275
5453,27
5770,24
6575,6
5400,157
7385,11
5194,63
7361,406
1000,192086
7363,1
7348,28
5551,6
9240,16
7220,59
5532,2
7345,85
7450,5
9230,199
6901,2
6572,25
7356,5
7354,106
8410,37
9200,2
7179,17
5558,24
9260,13
6220,377
3220,532
6565,62
7383,18
6537,15
4110,2
5720,9192
6574,6
5300,2
5200,24
7120,6
6599,5157
6578,16
5552,4
8450,44
7331,89
6589,1011
7366,48
4100,11
8250,38
5100,1
6596,185
6318,1
9900,264
8470,2
5410,4
8140,2
6595,69
4120,132
7365,8
6411,55
9150,53
6562,5
6560,6
5370,1
7346,151
5442,1
5585,1
6542,112
8210,255
5785,110
8120,4
6543,6
7210,1960
5560,128
5530,1
5610,4
6511,11
6598,388
7355,26
5460,43
7389,82
5470,66
6561,56
5685,2
7410,10
5202,1428
6569,5
2120,20
2220,35
6532,11
6585,19
7520,16
6539,2
6316,78
5547,4
6540,32302
9222,4
5800,18
9100,4
2320,4
3205,2
7381,13
7510,314
5485,1125
5500,104
8510,1
8311,50
6564,30
7384,7
6597,164
9210,78
3290,23
6541,3211
7172,362
2310,44
8130,14
6535,7
7372,2
9970,5
7371,2
7322,10
8400,1
8310,115
7367,48
9223,53
7100,3
6534,249
6576,48
7470,9
3120,1082
7340,2
