activitePrincipaleUniteLegale,count
47.99A,182
45.20B,11
31.03Z,2
58.19Z,3
33.20A,4
48.04,1
25.73B,1
64.11,123
87.30A,9
61.10Z,13
70.3A,7
93.0A,3
15.8P,1
63.99Z,3
55.3A,215
65.12Z,57
45.1B,3
01.56,12
46.45Z,2
43.22A,143
74.09,3
47.04,8
95.12Z,4
22.1E,3
51.9B,1
32.2B,1
31.01Z,5
41.10A,12
64.40,5
67.05,36
26.2A,1
16.01,1
93.0D,38
58.01,1
02.10Z,211
01.1F,25
14.39Z,6
01.44Z,1
11.01Z,4
43.11Z,1
60.2N,1
01.11Z,173
52.3A,13
47.79Z,55
84.11,17
23.19Z,7
67.12,8
01.60,1
65.02,22
77.01,20
46.23Z,60
49.41A,40
23.99Z,2
95.29Z,83
52.4Z,61
92.3A,50
43.99A,7
64.23,8
47.65Z,9
44.20,1
44.18,2
85.02,1
68.20A,714
51.3J,14
55.40,54
14.2A,5
01.50,68
64.49,34
85.1E,17
51.3A,10
05.0A,1
60.20B,1
49.32Z,86
45.3E,40
80.04,2
60.2E,16
46.46Z,6
44.25,2
84.24Z,1
55.60,274
45.2J,37
36.6E,8
56.30Z,285
15.8D,9
86.22A,14
18.20Z,2
15.5B,1
74.5A,11
32.99Z,27
36.2C,2
15.8B,18
72.2Z,1
21.08,10
46.11Z,4
01.2E,5
52.21Z,17
49.01,23
36.00Z,15
95.11Z,55
56.21Z,48
52.29A,3
85.3A,2
45.2C,3
17.29Z,2
28.12,1
85.1C,56
62.11,126
20.4Z,1
47.77Z,24
64.44,1
50.2Z,45
92.3J,1
64.11Z,2
46.49Z,12
54.04,2
01.47Z,50
45.4J,49
18.2G,1
47.52A,30
78.20Z,11
11.07B,2
86.90C,2
13.30Z,3
80.2C,2
55.13,1
77.32Z,12
73.20Z,2
81.22Z,12
52.4V,8
52.4Y,7
27.5G,1
80.4D,23
43.34Z,216
95.21Z,8
44.32,1
88.99A,3
93.19Z,157
81.29B,10
80.20Z,1
36.4Z,4
93.0N,9
52.4X,9
25.61Z,3
92.5C,2
79.02,7
72.20Z,14
54.08,3
46.74A,4
49.20Z,1
64.20Z,132
87.10A,26
52.7H,9
46.13Z,1
86.90E,434
01.43Z,230
90.01Z,231
