categorieJuridiqueUniteLegale,count
3210,5
2110,510
7378,4
3200,1
2700,3
7364,159
7353,291
5498,12273
2200,148
5306,56
6300,17
5458,11
5546,42
5520,2
7160,3
6538,2
9221,43
6571,32
6533,300
4130,317
8110,82
7351,16
2100,13
2385,6
8490,5
5599,4216
5553,2
9110,1838
5515,80
6100,11
5615,3
7490,5
7323,194
5195,405
8290,4
5192,155
5510,137
9300,70
5308,29
8160,3
4150,10
6577,4
5499,37434
7171,50
5432,4
7379,1
5660,82
2210,520
6573,9
6536,39
8200,15
6210,7
4160,2
7321,150
6200,17
9220,1342
5196,46
8420,85
5699,364
4140,23
2300,15
7312,9
7373,1
6500,73
2900,342
5191,5
8170,16
6317,169
5710,11229
5453,15
5770,2
6575,9
5400,74
7385,16
5194,5
7361,150
1000,125590
7348,24
5551,1
9240,22
7220,27
7345,69
7450,6
5532,4
5555,1
9230,210
6901,1
6572,13
7356,2
7354,65
8410,56
9200,3
7179,21
5558,25
9260,9279
3220,430
6220,266
6565,49
7383,42
4110,11
5720,6578
6574,11
5200,21
7120,8
6599,6849
6578,8
5552,2
8450,22
7331,131
6589,652
7366,68
8250,45
5100,2
6596,91
6318,7
9900,387
5410,2
8470,4
8140,3
6595,169
4120,105
6411,57
7365,3
9150,29
6562,1
7230,4
6560,4
7346,163
5585,14
6542,28
8210,106
5785,92
6543,10
8120,38
7210,2234
5560,100
5646,5
5451,1
5530,2
5610,9
6412,1
8100,1
6511,6
6598,1716
7430,421
7355,65
5460,24
7389,81
5470,43
5385,3
6561,30
5685,2
7410,11
5202,859
2120,17
2220,6
6532,7
6585,32
7520,8
6539,1
6316,132
5547,3
6540,22529
9222,19
5800,8
9224,4
9100,1
2320,2
7381,50
7510,41
5485,610
5500,67
8510,1
5522,3
8311,26
6564,13
7384,4
6597,807
9210,13
5548,1
3290,9
6541,871
7172,357
2310,10
8130,17
6535,7
7371,6
9970,7
7372,2
7322,114
8400,5
8310,81
7357,4
9223,16
5570,1
6534,315
7470,6
6576,22
3120,323
