activitePrincipaleUniteLegale,count
47.99A,1066
33.20A,44
45.20B,15
48.04,5
25.73B,7
58.19Z,2
31.03Z,2
64.11,227
70.3A,40
87.30A,6
61.10Z,24
93.0A,2
35.4A,1
34.2A,2
55.3A,329
65.12Z,95
01.56,2
92.14,2
46.45Z,3
45.1B,2
95.12Z,11
43.22A,205
47.04,25
74.09,1
90.0E,4
31.01Z,3
22.1E,6
51.9B,3
71.1A,1
41.10A,23
67.05,69
64.40,11
26.2A,4
16.01,1
93.0D,115
89.05,4
02.10Z,121
01.1F,19
14.39Z,8
11.01Z,33
73.08,2
43.11Z,6
60.2N,8
25.91Z,1
01.11Z,1552
52.3A,28
47.79Z,141
84.11,23
28.30Z,14
01.60,2
23.19Z,1
67.12,5
00.97,3
38.22Z,5
49.41A,85
77.01,16
65.02,58
46.23Z,48
24.3Z,1
23.99Z,6
21.09,1
29.4C,2
23.01,2
99.00Z,1
24.06,1
64.23,27
92.3A,77
95.29Z,123
52.4Z,78
47.65Z,26
60.01,5
43.99A,11
90.13,1
44.18,1
25.2A,1
29.4B,1
55.40,65
68.20A,2215
64.49,72
14.2A,3
85.1E,39
51.3A,12
51.3J,11
05.0A,1
01.50,30
60.11,1
45.3E,66
80.04,7
60.2E,35
49.32Z,116
46.46Z,12
84.24Z,6
53.05,2
55.60,230
45.2J,40
36.6E,9
55.31,2
52.22Z,1
56.30Z,274
86.22A,26
15.8D,12
80.30Z,5
64.1C,7
18.20Z,1
22.19Z,5
32.99Z,35
74.5A,18
36.2C,3
21.08,20
01.2E,10
72.2Z,15
46.11Z,15
15.8B,10
82.04,1
36.00Z,43
49.01,47
52.21Z,33
29.1D,1
91.02,1
56.21Z,79
95.11Z,92
52.29A,12
17.29Z,3
54.05,2
45.2C,2
28.12,1
62.11,105
85.1C,104
20.4Z,6
23.49Z,7
46.49Z,40
50.2Z,69
64.44,4
47.77Z,25
64.11Z,2
54.04,1
92.3J,5
47.52A,28
45.4J,79
01.47Z,36
13.30Z,3
78.20Z,32
18.2G,4
55.13,1
11.07B,1
86.90C,2
73.20Z,14
77.32Z,31
70.02,5
89.06,1
51.1G,5
15.13,1
81.22Z,48
52.4Y,12
52.4V,17
43.34Z,342
95.21Z,22
80.4D,36
88.99A,10
81.29B,18
93.19Z,55
15.9J,2
80.20Z,22
28.10,1
36.4Z,2
17.4A,1
52.4X,36
47.02,5
17.5C,2
93.0N,66
54.08,11
92.5C,4
46.74A,5
25.61Z,11
72.20Z,3
49.20Z,3
79.02,1
64.20Z,328
87.10A,43
25.12Z,16
52.7H,7
46.13Z,9
24.20Z,2
29.16,1
90.01Z,247
86.90E,653
01.74,1
85.31Z,53
46.71Z,36
52.29B,13
01.43Z,134
03.22Z,28
48.07,10
71.3G,7
51.5C,5
74.3B,5
17.5G,2
46.73B,16
77.10,23
25.01,2
82.20Z,23
29.3C,15
38.11Z,10
00.11,8
71.20A,37
51.5A,7
31.13,1
66.0A,2
01.07,79
47.82Z,166
43.32B,100
80.4C,17
40.1Z,7
17.12Z,1
38.31Z,14
94.91Z,99
77.12Z,7
47.75Z,29
94.92Z,9
52.2G,8
15.07,1
42.22Z,12
51.8P,3
56.10C,495
52.4R,54
74.10Z,72
74.90A,42
33.20C,3
01.16,1
43.91A,72
87.20A,50
82.11Z,36
51.8L,5
10.32Z,6
60.20A,3
93.13Z,9
46.44Z,5
35.3A,2
27.5C,3
55.4C,2
81.30Z,190
64.41,28
86.10Z,100
49.05,14
28.5A,9
45.4L,5
20.16Z,1
25.72Z,1
10.73Z,1
84.11Z,1896
01.4B,17
59.11,10
64.42,19
50.4Z,10
42.21Z,8
43.99B,8
29.3D,4
28.21Z,2
22.23Z,12
20.42Z,2
52.1F,1
80.2A,1
90.0A,34
52.7C,12
50.1Z,123
35.13Z,10
79.12Z,10
63.3Z,8
36.5Z,7
29.13,1
46.12B,2
20.15Z,1
25.2G,2
85.01,3
60.2P,11
26.12Z,5
17.7C,1
63.4B,1
77.08,31
15.5C,8
33.3Z,6
83.01,2
66.30Z,46
10.13B,44
55.2C,7
01.21Z,17
55.20,1
10.01,1
45.4D,21
64.45,18
54.07,4
60.04,3
"",13
95.22Z,25
35.23Z,4
70.2B,67
20.14Z,3
51.30,3
55.5A,4
18.2D,3
23.20Z,1
85.1G,131
77.14,52
59.05,3
33.11Z,13
92.1J,2
29.5L,2
17.21B,2
29.32Z,2
01.3Z,942
25.1E,3
43.39Z,132
01.4A,58
43.12B,21
22.29B,2
10.52Z,2
37.02,1
96.16,1
55.20Z,147
87.01,17
02.10,7
93.12Z,671
43.22B,227
94.11Z,68
29.1F,2
26.51B,5
43.29B,12
25.2H,2
69.22,10
03.30,6
72.11Z,1
43.32A,363
01.2G,8
46.42Z,13
65.1E,10
46.24Z,1
00.10,156
56.29B,31
28.1C,5
58.10,1
00.30,7
44.42,1
15.8M,1
93.11Z,30
25.62B,72
59.12,3
60.07,4
58.12,9
29.1C,2
85.3H,5
33.4A,1
72.19Z,15
28.93Z,2
58.06,2
74.1G,57
67.09,5
69.25,5
47.01,6
46.22Z,5
72.5Z,6
91.3C,2
74.30Z,27
57.11,4
21.11,2
51.1A,1
20.13B,5
47.11B,115
79.11Z,46
38.32Z,120
96.03Z,67
36.1G,64
47.11C,20
70.1F,14
84.30B,6
63.4A,9
01.64Z,1
47.61Z,17
20.5C,2
57.02,35
52.2P,21
52.2A,10
92.3B,8
46.66Z,7
51.8N,1
64.19Z,118
65.06,62
59.20Z,9
84.30A,21
86.10,5
46.41Z,6
45.2L,13
71.1Z,3
30.30Z,2
53.04,1
80.02,8
00.12,1
31.5A,1
26.6E,2
77.13,1
51.5H,4
87.06,14
43.32C,11
55.70,57
13.92Z,20
65.2E,17
01.24Z,92
21.07,6
23.63Z,9
86.23Z,197
02.20Z,267
46.62Z,7
22.3E,1
49.39A,28
39.00Z,1
46.38B,10
