activitePrincipaleUniteLegale,count
47.99A,2166
25.73B,18
45.20B,31
33.20A,53
58.19Z,18
48.04,5
31.03Z,7
64.11,418
70.3A,353
87.30A,59
61.10Z,31
34.2A,16
45.3H,8
93.0A,4
63.99Z,6
15.8P,2
10.31Z,2
35.4A,1
55.3A,712
65.12Z,194
46.45Z,28
92.14,9
93.21,2
01.56,3
45.1B,2
33.03,1
43.22A,721
47.04,59
95.12Z,14
74.09,4
26.3Z,1
31.01Z,28
22.1E,12
51.9B,9
51.3Q,1
71.1A,5
32.2B,1
25.62A,1
67.05,102
26.2A,20
64.40,18
16.01,2
41.10A,68
93.0D,187
89.05,10
58.01,5
02.10Z,313
01.1F,34
60.2N,15
11.01Z,25
43.11Z,12
14.39Z,7
01.11Z,3799
47.79Z,361
28.30Z,15
52.3A,57
84.11,18
23.19Z,17
67.12,4
01.60,2
00.97,6
38.22Z,2
27.4D,1
65.02,95
77.01,59
49.41A,240
23.99Z,10
46.23Z,34
23.01,2
29.4C,1
21.09,3
26.4B,1
24.06,1
24.3Z,1
28.15,1
52.4Z,192
43.99A,28
95.29Z,226
64.23,60
47.65Z,35
92.3A,151
60.01,8
25.2A,4
85.02,2
29.4B,3
44.18,1
44.23,1
46.36Z,3
64.49,217
68.20A,2230
55.40,153
01.50,15
51.3A,11
51.3J,33
85.1E,63
14.2A,14
60.20B,2
49.32Z,490
60.2E,155
45.3E,196
53.05,9
18.1Z,1
46.46Z,28
84.24Z,6
80.04,15
44.25,1
90.0G,1
55.60,557
36.6E,27
45.2J,44
55.31,5
45.2R,1
52.22Z,4
86.22A,50
56.30Z,634
64.1C,23
15.8D,24
80.30Z,6
18.20Z,5
85.10Z,2
22.19Z,1
32.99Z,102
74.5A,18
36.2C,4
72.2Z,39
21.08,40
15.8B,22
46.11Z,7
01.2E,10
95.24,2
92.15,1
36.00Z,47
49.01,55
52.21Z,54
29.1D,2
56.21Z,277
95.11Z,183
52.29A,41
17.29Z,16
45.2C,1
85.3A,1
54.05,3
28.12,1
96.21,1
62.11,267
85.1C,214
20.4Z,12
23.49Z,2
22.01,3
30.99Z,1
50.2Z,279
46.49Z,95
47.77Z,61
64.44,9
54.04,8
64.11Z,4
58.05,5
78.20Z,170
01.47Z,174
45.4J,294
47.52A,116
13.30Z,11
18.2G,6
86.90C,3
11.07B,4
77.32Z,30
51.1G,18
73.20Z,25
