categorieJuridiqueUniteLegale,count
3210,2
2110,991
7362,88
2700,21
7378,3
7364,101
5543,5
7353,331
2200,490
5498,14371
5306,42
6300,25
5458,74
5546,4
7160,3
6538,7
9221,19
6571,79
6533,517
5193,2
4130,323
5415,3
8110,47
7351,1
8490,25
2100,20
2385,12
5599,3244
5553,5
9110,1072
5632,9
8300,1
5515,27
6100,5
7490,4
7323,27
8150,2
8290,4
5192,95
5510,174
6568,2
8160,2
9300,29
5308,28
4150,10
6577,8
5499,48744
7171,36
5432,4
7379,4
2210,1881
6573,49
5669,1
8200,41
6210,4
6536,41
4160,2
7321,254
6200,13
9220,19431
5196,102
8420,83
2300,15
5699,217
4140,15
7373,1
6500,185
5307,1
6521,3
2900,229
5191,5
8170,7
7349,1
6317,378
5710,11024
5770,16
5453,21
5651,43
6575,16
5400,200
5194,5
7385,19
7361,394
1000,192702
7363,2
7348,40
5551,11
9240,22
7220,36
7345,101
7450,11
5532,8
5203,2
5555,3
9230,154
6901,1
6572,23
7356,1
7354,101
8410,59
9200,9
7179,9
5558,8
9260,7
3220,161
6220,335
6565,71
7383,21
4110,5
5720,7408
6574,27
5200,25
7120,8
6599,3186
6578,13
5552,1
8450,22
7366,54
6589,888
7331,91
8250,51
4100,1
6596,203
6318,44
9900,176
5410,106
8470,5
8140,3
6595,4
7342,1
4120,123
6411,53
9150,56
6562,9
6560,5
7346,124
5585,9
6542,28
8210,277
5785,156
6543,2
8120,47
7210,1713
5560,41
5646,1
5505,1
5530,3
5451,2
5610,8
6511,13
5455,7
6598,1245
7355,37
5460,102
7389,105
5470,67
5385,4
6561,73
5685,4
7410,9
5202,1397
6569,5
2120,15
2220,7
6532,15
6585,49
7520,4
6539,1
6316,234
6540,31918
9222,8
5800,3
9224,4
5459,3
2320,2
7381,94
7510,198
5485,753
5500,74
8510,1
8311,26
6564,33
7384,11
6597,700
9210,18
6563,8
3290,6
6541,995
7172,325
2310,35
8130,3
7371,2
9970,8
7372,2
6535,9
7322,3
8400,7
8310,45
7367,3
7357,5
9223,131
6534,785
6576,41
7470,2
3120,214
7340,2
