activitePrincipaleUniteLegale,count
47.99A,3075
45.20B,88
25.73B,8
33.20A,198
58.19Z,70
31.03Z,10
48.04,13
71.3E,1
64.11,839
70.3A,407
87.30A,29
93.0A,11
61.10Z,47
45.3H,6
03.40,2
63.99Z,12
34.2A,11
15.8P,9
10.31Z,2
35.4A,2
95.13,2
65.12Z,398
55.3A,2183
45.1B,15
46.45Z,76
01.56,25
92.14,5
93.21,1
47.04,144
43.22A,1248
95.12Z,36
74.09,9
90.0E,11
01.63Z,2
51.9B,23
31.01Z,23
32.2B,12
22.1E,30
71.1A,20
51.3Q,3
24.01,1
25.62A,2
67.05,175
64.40,32
41.10A,346
26.2A,29
16.01,2
93.0D,416
92.13,1
89.05,6
58.01,6
23.65Z,2
02.10Z,340
43.11Z,26
11.01Z,19
01.1F,21
60.2N,14
14.39Z,17
73.08,5
01.44Z,3
01.11Z,1857
47.79Z,621
84.11,99
01.60,68
52.3A,119
67.12,16
38.22Z,4
00.97,23
23.19Z,45
28.30Z,26
77.01,116
65.02,152
49.41A,431
46.23Z,82
28.15,5
21.09,3
23.99Z,13
24.06,1
24.3Z,3
23.01,2
52.4Z,575
95.29Z,514
92.3A,369
64.23,83
43.99A,91
47.65Z,92
29.4B,1
60.01,36
90.13,1
46.36Z,10
44.20,1
25.2A,3
44.18,1
55.40,251
68.20A,5395
05.0A,351
85.1E,137
64.49,340
01.50,261
51.3A,24
60.20B,9
51.3J,70
14.2A,12
60.11,3
60.2E,174
45.3E,244
49.32Z,742
46.46Z,75
53.05,14
80.04,6
84.24Z,4
55.60,1052
45.2J,302
36.6E,50
55.31,86
52.22Z,45
45.2R,6
73.09,4
56.30Z,2463
86.22A,158
15.8D,79
64.1C,31
80.30Z,19
31.2B,1
22.19Z,7
18.20Z,9
15.5B,2
85.10Z,1
75.04,1
32.99Z,303
36.2C,13
74.5A,36
01.2E,315
15.8B,181
72.2Z,63
21.08,49
46.11Z,40
95.24,3
82.04,1
92.15,2
49.01,90
52.21Z,79
36.00Z,75
91.02,2
29.1D,2
95.11Z,441
56.21Z,363
52.29A,66
54.05,5
45.2C,3
17.29Z,37
96.21,3
85.3A,2
62.11,456
85.1C,493
23.49Z,5
20.4Z,14
22.01,4
30.99Z,2
50.2Z,405
46.49Z,425
47.77Z,204
54.04,13
64.44,33
58.05,7
64.11Z,3
92.3J,3
45.4J,560
01.47Z,1544
78.20Z,333
47.52A,179
13.30Z,27
80.2C,12
55.13,2
18.2G,4
11.07B,7
86.90C,3
73.20Z,63
77.32Z,105
51.1G,18
70.02,1
15.13,2
