activitePrincipaleUniteLegale,count
47.99A,1309
45.20B,28
33.20A,60
25.73B,24
10.62Z,1
14.31Z,1
58.19Z,11
31.03Z,3
48.04,5
64.11,422
70.3A,104
61.10Z,35
34.2A,14
63.99Z,6
87.30A,14
15.8P,7
45.3H,5
93.0A,3
55.3A,613
01.56,13
92.14,7
65.12Z,156
46.45Z,11
43.22A,561
15.5A,4
47.04,89
95.12Z,9
74.09,6
90.0E,2
01.63Z,1
51.9B,10
51.3Q,3
22.1E,16
31.01Z,8
25.62A,8
41.10A,72
67.05,118
64.40,28
16.01,3
26.2A,4
93.0D,186
89.05,8
58.01,3
01.44Z,3
60.2N,12
02.10Z,281
11.01Z,20
43.11Z,10
01.1F,22
73.08,5
14.39Z,9
84.11,30
01.11Z,2114
47.79Z,365
52.3A,64
00.97,88
38.22Z,2
28.30Z,5
01.60,10
23.19Z,9
67.12,5
65.02,75
46.23Z,76
77.01,47
49.41A,194
21.09,9
09.90Z,1
44.22,1
23.99Z,8
24.3Z,2
28.15,1
52.4Z,168
95.29Z,322
64.23,52
92.3A,66
43.99A,75
47.65Z,44
60.01,8
90.13,8
29.4B,2
46.36Z,7
44.18,1
25.2A,2
85.02,1
64.49,139
68.20A,1662
01.50,203
55.40,130
14.2A,11
85.1E,49
51.3A,6
51.3J,29
49.32Z,238
45.3E,135
60.2E,71
46.46Z,17
53.05,3
18.1Z,2
80.04,3
84.24Z,1
55.60,442
45.2J,126
36.6E,15
55.31,3
56.30Z,643
86.22A,41
15.8D,26
22.19Z,5
64.1C,5
18.20Z,7
80.30Z,5
31.2B,1
32.99Z,51
74.5A,30
21.08,39
46.11Z,37
92.15,1
15.8B,12
72.2Z,18
01.2E,27
82.04,1
36.00Z,130
49.01,69
52.21Z,23
29.1D,1
56.21Z,125
96.21,1
95.11Z,126
17.29Z,6
52.29A,24
28.12,1
85.3A,1
85.1C,189
62.11,263
20.4Z,7
23.49Z,3
46.49Z,93
50.2Z,129
47.77Z,49
64.44,12
64.11Z,2
92.3J,1
54.04,5
58.05,2
45.4J,188
78.20Z,125
47.52A,71
01.47Z,175
11.07B,1
13.30Z,4
55.13,1
18.2G,2
86.90C,2
77.32Z,40
73.20Z,11
51.1G,8
89.06,1
52.4Y,21
81.22Z,45
52.4V,36
27.5G,2
80.4D,60
43.34Z,722
95.21Z,24
88.99A,10
29.5M,1
22.1G,2
93.19Z,403
80.20Z,15
15.9J,15
81.29B,27
36.4Z,1
21.02,5
17.4A,3
79.02,10
25.61Z,28
46.74A,15
47.02,21
93.0N,107
52.4X,108
72.20Z,9
42.91Z,6
54.08,2
33.1A,2
92.5C,4
64.20Z,675
25.12Z,9
87.10A,55
46.13Z,12
52.7H,26
20.1B,11
24.44Z,2
01.43Z,1178
90.01Z,440
86.90E,1051
46.71Z,65
85.31Z,77
03.22Z,25
17.5G,7
51.5C,2
71.3G,12
58.08,1
52.29B,25
74.3B,3
48.07,12
82.20Z,31
29.3C,20
71.20A,51
31.13,3
38.11Z,35
77.10,35
46.73B,37
59.13,5
51.5A,9
44.41,3
62.1Z,1
43.32B,180
01.07,71
47.82Z,219
80.4C,23
94.91Z,164
77.12Z,20
47.75Z,54
51.8P,8
52.2G,14
38.31Z,8
42.22Z,11
50.03,1
94.92Z,6
15.8T,1
56.10C,712
52.4R,106
33.20C,25
88.04,6
74.10Z,160
74.90A,63
54.02,5
40.34,2
01.16,1
82.11Z,86
10.32Z,1
43.91A,220
87.20A,16
06.01,4
60.20A,3
29.1A,1
51.8L,7
55.4C,10
46.44Z,11
93.13Z,26
81.30Z,520
64.41,58
49.05,56
25.72Z,12
86.10Z,204
28.5A,14
45.4L,9
20.16Z,1
10.73Z,1
58.07,1
84.11Z,2211
01.4B,74
42.21Z,8
43.99B,23
64.42,26
50.4Z,34
29.3D,9
59.11,12
23.31Z,1
52.1F,3
22.23Z,16
20.42Z,16
80.2A,7
45.2N,1
52.02,2
50.1Z,239
46.12B,8
90.0A,23
25.2G,10
79.12Z,20
29.13,3
36.5Z,3
52.7C,28
35.13Z,13
63.3Z,16
20.15Z,2
31.6C,2
17.7C,1
60.2P,6
26.12Z,11
85.01,2
77.08,59
71.2E,1
33.3Z,8
83.01,1
28.6C,6
15.5C,6
10.13B,120
66.30Z,80
01.21Z,10
55.2C,6
92.11,2
41.10,2
13.91Z,1
64.45,34
45.4D,51
95.22Z,48
"",55
17.19,3
60.04,2
