activitePrincipaleUniteLegale,count
47.99A,9145
33.20A,566
58.19Z,197
71.3E,20
45.20B,155
31.03Z,20
25.73B,89
14.31Z,12
48.04,9
64.11,3219
70.3A,1708
35.4A,9
87.30A,123
63.99Z,102
61.10Z,313
93.0A,49
34.2A,34
45.3H,35
15.8P,11
10.31Z,3
55.3A,4710
65.12Z,995
46.45Z,448
92.14,3
45.1B,18
93.21,8
01.56,2
43.22A,4175
47.04,508
95.12Z,119
74.09,30
90.0E,8
26.3Z,2
15.5A,3
01.63Z,1
22.1E,214
32.2B,40
25.62A,31
31.01Z,139
51.9B,249
71.1A,24
51.3Q,11
24.01,15
16.01,24
64.40,195
41.10A,1681
67.05,101
26.2A,18
28.11,1
93.0D,1314
58.01,51
89.05,8
92.13,1
23.65Z,1
60.2N,98
43.11Z,192
02.10Z,1110
01.1F,215
11.01Z,37
14.39Z,30
01.44Z,5
25.91Z,1
73.08,1
00.97,3958
47.79Z,1342
84.11,213
38.22Z,28
52.3A,351
01.11Z,1378
23.19Z,82
67.12,21
01.60,7
28.30Z,25
27.4D,1
28.15,36
65.02,434
77.01,781
49.41A,2092
23.99Z,45
23.01,20
21.09,24
29.4C,5
46.23Z,88
99.00Z,51
24.06,9
24.3Z,22
17.12,2
26.4B,5
44.22,3
09.90Z,4
44.18,66
52.4Z,1424
92.3A,896
95.29Z,1023
64.23,343
46.36Z,82
43.99A,695
47.65Z,175
60.01,27
44.23,18
44.20,9
85.02,5
25.2A,34
90.13,3
29.4B,5
68.20A,21831
64.49,669
51.3A,121
55.40,699
85.1E,420
51.3J,201
01.50,20
60.11,10
14.2A,25
60.20B,21
60.2E,895
46.46Z,825
49.32Z,6401
45.3E,1030
90.0G,7
18.1Z,12
53.05,56
80.04,86
24.11,15
84.24Z,53
44.25,8
80.07,2
55.31,45
55.60,1756
36.6E,93
45.2J,122
52.22Z,25
45.2R,2
80.30Z,101
56.30Z,2405
86.22A,690
15.8D,241
64.1C,49
22.19Z,63
85.10Z,21
75.04,11
18.20Z,29
17.1M,2
31.2B,5
32.99Z,377
36.2C,329
74.5A,178
21.08,460
15.8B,366
72.2Z,578
46.11Z,39
92.15,5
95.24,2
01.2E,8
82.04,2
99.0Z,1
49.01,272
36.00Z,132
52.21Z,434
29.1D,19
91.02,14
26.6J,2
56.21Z,1436
95.11Z,1158
52.29A,286
17.29Z,103
28.12,26
45.2C,8
54.05,13
85.3A,8
62.11,1486
85.1C,1715
20.4Z,37
30.99Z,9
23.49Z,10
22.01,2
54.04,324
50.2Z,1299
46.49Z,1675
47.77Z,636
58.05,131
64.44,102
92.3J,10
64.11Z,7
45.4J,2088
78.20Z,1810
47.52A,469
13.30Z,144
18.2G,86
01.47Z,93
80.2C,9
11.07B,13
86.90C,14
55.13,4
51.1G,78
73.20Z,596
15.13,9
77.32Z,298
70.02,18
89.06,2
52.4Y,53
81.22Z,1114
52.4V,255
27.5G,14
43.34Z,5634
80.4D,529
44.32,210
88.99A,68
22.1G,94
95.21Z,193
29.5M,9
80.20Z,297
93.19Z,1000
17.4A,39
21.02,46
81.29B,208
92.5A,3
36.4Z,29
28.10,13
88.05,1
42.91Z,12
25.61Z,314
93.0N,679
52.4X,507
72.20Z,408
46.74A,281
47.02,223
54.08,58
79.02,22
28.11Z,12
33.1A,15
92.5C,14
49.20Z,25
11.04Z,12
64.20Z,11344
52.7H,160
25.12Z,195
87.10A,253
24.20Z,26
46.13Z,179
20.1B,19
24.44Z,17
29.16,1
11.04,1
13.10,1
86.90E,14730
90.01Z,7583
71.3G,98
01.43Z,289
52.29B,1086
46.71Z,326
85.31Z,324
17.5G,91
58.08,42
51.5C,103
48.07,25
03.22Z,34
74.3B,87
01.74,1
77.10,656
59.13,270
29.3C,43
46.73B,366
71.20A,322
44.41,52
82.20Z,472
38.11Z,243
66.0A,23
62.1Z,13
51.5A,47
31.13,32
25.01,23
80.4C,825
43.32B,2029
40.1Z,17
47.82Z,2190
17.12Z,35
17.7A,1
01.07,11
94.91Z,794
77.12Z,160
47.75Z,707
50.03,16
38.31Z,91
52.2G,145
15.07,16
42.22Z,144
94.92Z,48
15.8T,7
51.8P,12
40.33,3
52.4R,1033
56.10C,7830
74.10Z,4649
33.20C,200
15.9G,10
74.90A,900
88.04,21
54.02,35
01.16,5
40.34,4
26.5C,1
28.2A,1
82.11Z,1588
43.91A,580
10.32Z,21
51.8L,69
87.20A,131
22.3C,5
24.05,7
06.01,2
60.20A,18
29.1A,9
46.44Z,138
40.2C,1
93.13Z,233
14.03,1
55.4C,15
35.3A,2
61.1A,4
49.05,201
81.30Z,2259
28.5A,166
20.16Z,40
86.10Z,720
64.41,177
25.72Z,82
10.73Z,42
45.4L,108
58.07,10
84.11Z,3188
59.11,158
50.4Z,114
01.4B,248
29.3D,22
43.99B,291
42.21Z,126
64.42,88
28.21Z,15
23.31Z,14
92.2F,1
17.24Z,3
52.1F,12
20.42Z,107
80.2A,24
22.23Z,75
52.02,5
45.2N,2
50.1Z,1203
63.3Z,187
52.7C,123
79.12Z,323
46.12B,80
36.5Z,48
25.2G,58
29.13,41
31.6C,6
20.15Z,25
35.13Z,58
90.0A,11
36.6C,2
26.12Z,74
60.2P,93
17.7C,21
44.12,2
85.01,7
77.08,290
99.01,14
83.01,23
33.3Z,156
63.4B,32
29.21,2
71.2E,11
15.5C,11
28.6C,8
01.21Z,6631
10.13B,215
66.30Z,2088
18.07,5
13.91Z,17
41.10,2
55.2C,17
26.2C,1
55.20,8
64.45,310
45.4D,613
95.22Z,181
"",1001
54.07,57
60.04,69
14.20Z,16
24.41Z,22
17.19,4
35.23Z,59
27.1Z,1
51.30,50
18.2D,162
70.2B,140
55.5A,179
84.01,2
71.2C,8
20.14Z,58
95.11,3
23.20Z,11
85.1G,2145
33.11Z,141
77.14,672
89.07,41
17.3Z,120
29.32Z,114
17.21B,54
59.05,25
92.1J,22
97.11,3
29.5L,8
41.08,2
01.4A,156
43.39Z,1160
01.3Z,886
22.29B,132
25.1E,26
29.2L,4
43.12B,49
96.16,16
34.3Z,46
27.3C,2
37.02,3
10.52Z,27
64.2D,4
87.01,651
55.20Z,909
02.10,4
24.6G,5
43.22B,2141
69.22,19
93.12Z,4026
43.29B,458
17.5A,3
87.02,9
94.11Z,396
26.51B,158
29.4A,45
72.11Z,233
25.2H,92
29.1F,35
11.01,10
13.11,1
43.32A,3517
46.42Z,1019
11.02B,59
01.2G,23
65.1E,243
46.24Z,10
46.35Z,6
15.11Z,5
00.30,40
00.10,344
56.29B,807
28.1C,110
44.42,44
15.8M,13
58.10,16
93.11Z,286
25.62B,739
60.07,102
58.12,427
59.12,67
85.3H,15
33.4A,11
29.1C,21
29.31Z,7
58.06,318
28.93Z,52
47.01,276
74.1G,3358
72.5Z,177
69.25,115
72.19Z,1023
67.09,100
46.22Z,73
91.3C,12
28.3B,12
85.3E,12
51.1A,36
74.30Z,2366
57.11,84
21.11,38
79.11Z,747
47.11B,1693
70.1F,645
47.11C,417
38.32Z,887
96.03Z,354
63.4A,125
36.1G,211
20.13B,18
84.30B,114
52.2A,176
92.3B,319
47.61Z,331
52.2P,288
27.33Z,24
57.02,51
46.66Z,171
20.5C,7
24.4A,5
30.02,6
47.06,1
45.2L,71
64.19Z,1661
65.06,949
86.10,59
51.8N,97
46.41Z,426
59.20Z,515
84.30A,93
71.1Z,76
53.04,10
30.30Z,15
