activitePrincipaleUniteLegale,count
47.99A,1599
45.20B,37
25.73B,7
33.20A,50
58.19Z,3
31.03Z,7
64.11,295
70.3A,139
61.10Z,25
87.30A,15
63.99Z,2
93.0A,1
15.8P,1
45.3H,2
34.2A,2
55.3A,537
01.56,62
65.12Z,121
46.45Z,23
92.14,1
45.1B,3
43.22A,419
47.04,123
15.5A,25
95.12Z,5
90.0E,2
01.63Z,2
74.09,1
22.1E,8
71.1A,7
31.01Z,18
32.2B,4
25.62A,1
67.05,99
41.10A,78
64.40,18
26.2A,5
16.01,1
93.0D,193
89.05,6
58.01,3
43.11Z,25
01.1F,9
14.39Z,10
02.10Z,143
60.2N,1
11.01Z,9
01.44Z,4
73.08,1
84.11,30
01.11Z,1085
28.30Z,23
67.12,4
47.79Z,193
52.3A,60
00.97,5
01.60,16
38.22Z,5
23.19Z,6
49.41A,211
65.02,56
46.23Z,182
77.01,24
23.99Z,5
24.06,1
64.23,33
95.29Z,181
92.3A,65
60.01,42
44.18,2
52.4Z,103
43.99A,37
47.65Z,30
85.02,1
90.13,2
25.2A,3
44.20,1
46.36Z,1
55.40,101
64.49,120
68.20A,1772
01.50,152
85.1E,31
05.0A,2
51.3A,6
60.11,2
14.2A,4
51.3J,16
49.32Z,209
46.46Z,27
60.2E,44
84.24Z,3
45.3E,121
80.04,5
53.05,2
55.60,263
45.2J,102
36.6E,9
52.22Z,6
56.30Z,684
22.19Z,5
31.2B,1
18.20Z,14
15.8D,15
64.1C,30
80.30Z,6
86.22A,49
85.10Z,2
32.99Z,46
74.5A,20
36.2C,2
01.2E,125
15.8B,13
21.08,26
72.2Z,15
46.11Z,29
92.15,1
82.04,1
49.01,44
36.00Z,88
52.21Z,38
29.1D,1
56.21Z,103
95.11Z,157
52.29A,18
17.29Z,13
45.2C,1
85.3A,1
62.11,206
85.1C,177
23.49Z,2
22.01,24
20.4Z,3
30.99Z,1
47.77Z,51
50.2Z,147
46.49Z,97
58.05,7
64.44,6
64.11Z,1
92.3J,1
45.4J,147
01.47Z,406
78.20Z,670
47.52A,47
13.30Z,9
18.2G,10
55.13,1
80.2C,4
86.90C,2
11.07B,1
77.32Z,42
15.13,1
73.20Z,24
51.1G,1
81.22Z,83
52.4V,32
52.4Y,5
27.5G,1
43.34Z,593
80.4D,42
88.99A,30
95.21Z,19
22.1G,3
93.19Z,420
81.29B,42
36.4Z,5
15.9J,13
80.20Z,13
92.5A,1
21.02,1
93.0N,71
52.4X,68
46.74A,41
47.02,13
25.61Z,40
79.02,21
54.08,11
72.20Z,3
42.91Z,1
28.11Z,1
11.04Z,1
64.20Z,1113
87.10A,64
25.12Z,14
46.13Z,8
52.7H,33
13.10,1
20.1B,2
24.20Z,1
90.01Z,430
86.90E,1120
01.43Z,737
52.29B,32
46.71Z,41
85.31Z,107
03.22Z,7
71.3G,9
74.3B,5
51.5C,2
48.07,5
17.5G,1
77.10,27
38.11Z,24
25.01,1
71.20A,70
59.13,13
82.20Z,30
00.11,24
29.3C,47
44.41,1
46.73B,31
51.5A,8
66.0A,3
31.13,1
01.07,135
80.4C,32
43.32B,128
47.82Z,135
17.12Z,4
40.1Z,2
94.91Z,202
47.75Z,60
77.12Z,24
