categorieJuridiqueUniteLegale,count
3210,2
7362,56
2110,452
6558,3
2700,45
7378,2
7364,158
7353,327
2200,141
5498,5490
5306,21
6300,9
5458,26
5546,5
7160,3
9221,6
6538,1
6571,12
6533,1819
5193,5
4130,327
7343,9
8110,27
7351,5
2100,12
8490,8
2385,28
5599,1891
5553,5
9110,521
5632,3
5515,26
7490,2
6100,83
5615,1
7323,115
5192,31
5510,109
6568,1
5308,14
9300,125
8160,3
6567,4
3110,1
4150,2
6577,6
5499,16497
7171,49
5432,2
7379,5
5660,3
2210,937
6573,150
6536,66
8200,1
6210,1
4160,4
7321,155
6200,17
9220,8859
8420,20
5699,119
4140,21
2300,1
7312,32
7373,2
6500,38
5307,1
2900,227
5191,1
8170,11
6317,168
5710,5446
5453,10
5770,2
6575,8
5454,1
5400,22
7385,5
5194,49
7361,822
5554,29
1000,110002
5551,14
7348,109
9240,11
7220,13
7345,29
7450,28
5532,7
5555,2
9230,148
6572,8
7356,3
8410,37
7354,86
9200,14
7179,15
5558,10
9260,3
6220,296
6565,48
3220,52
7383,9
4110,1
5720,2105
6574,10
7120,6
5200,17
6599,2152
6578,2
5552,1
8450,13
6589,497
7366,88
7331,109
4100,25
8250,37
5100,1
6596,366
6318,7
9900,82
5410,58
8470,3
8140,3
6595,130
4120,108
6411,28
7365,3
9150,16
6562,1
6560,3
7346,276
5585,10
6542,36
8210,92
5785,36
8120,7
6543,6
7210,2587
5560,35
5610,1
6511,10
5455,3
6566,4
6598,1881
7355,51
5460,22
7389,64
5470,36
5385,1
6561,20
7410,14
5202,864
2120,12
6554,1
2220,10
3100,1
6532,15
6585,73
7520,14
6539,40
6316,452
5547,2
6540,10959
9222,1
5800,4
9224,1
2320,2
7381,84
7510,244
5485,378
5500,21
8311,12
6564,9
7384,1
6597,380
9210,11
3290,21
6541,336
7172,303
2310,30
8130,2
6535,3
9970,6
7372,3
7322,1
5309,1
8400,2
8310,38
7367,37
7357,1
9223,163
6534,360
6576,45
7470,2
3120,89
