activitePrincipaleUniteLegale,count
58.19Z,17
47.99A,1254
33.20A,98
45.20B,52
48.04,4
25.73B,13
64.11,642
34.2A,20
70.3A,169
87.30A,15
61.10Z,31
63.99Z,6
93.0A,5
35.4A,1
01.12Z,1
15.8P,4
95.13,1
55.3A,719
65.12Z,196
45.1B,7
46.45Z,41
01.56,3
43.22A,549
47.04,190
74.09,4
01.63Z,12
95.12Z,14
90.0E,1
15.5A,4
22.1E,24
51.9B,16
71.1A,8
51.3Q,1
31.01Z,7
32.2B,5
24.01,1
25.62A,2
64.40,41
41.10A,99
67.05,50
26.2A,13
16.01,8
93.0D,294
58.01,8
89.05,9
02.10Z,661
01.1F,276
11.01Z,30
14.39Z,9
43.11Z,9
60.2N,18
73.08,6
01.44Z,3
00.97,505
52.3A,96
01.11Z,5816
47.79Z,304
84.11,38
28.30Z,43
67.12,7
01.60,4
23.19Z,11
27.4D,2
38.22Z,1
65.02,188
77.01,79
49.41A,273
46.23Z,126
23.99Z,5
26.4B,3
21.09,3
23.01,3
24.3Z,1
28.15,2
44.22,1
64.50,1
52.4Z,314
95.29Z,580
92.3A,159
43.99A,36
47.65Z,38
64.23,75
90.13,5
60.01,21
29.4B,9
25.2A,3
29.5B,1
44.23,2
44.20,1
46.36Z,2
68.20A,2923
64.49,242
51.3A,138
55.40,196
85.1E,88
51.3J,56
01.50,14
05.0A,2
14.2A,20
60.11,1
60.20B,1
60.2E,92
49.32Z,335
45.3E,186
46.46Z,36
53.05,2
84.24Z,5
80.04,4
44.25,3
55.60,984
55.31,3
36.6E,20
45.2J,30
45.2R,1
52.22Z,2
64.1C,22
80.30Z,15
56.30Z,497
15.8D,56
86.22A,50
75.04,3
18.20Z,10
22.19Z,6
74.5A,26
32.99Z,69
36.2C,7
15.8B,34
21.08,79
72.2Z,9
46.11Z,8
82.04,2
01.2E,9
49.01,107
36.00Z,145
52.21Z,64
91.02,6
29.1D,1
56.21Z,217
95.11Z,234
52.29A,48
54.05,4
28.12,1
17.29Z,17
45.2C,1
85.1C,250
62.11,501
23.49Z,1
22.01,16
20.4Z,13
30.99Z,1
50.2Z,306
46.49Z,127
47.77Z,74
64.44,17
58.05,7
54.04,12
92.3J,6
64.11Z,2
47.52A,148
78.20Z,182
45.4J,283
01.47Z,548
80.2C,4
11.07B,4
86.90C,2
13.30Z,1
18.2G,3
51.1G,8
77.32Z,59
15.13,2
73.20Z,28
70.02,1
52.4V,30
81.22Z,97
52.4Y,16
27.5G,1
43.34Z,1171
95.21Z,41
80.4D,64
88.99A,9
44.32,1
22.1G,4
28.10,1
93.19Z,268
81.29B,57
21.02,3
80.20Z,27
36.4Z,9
92.5A,1
79.02,28
52.4X,93
93.0N,194
25.61Z,14
46.74A,27
54.08,35
47.02,9
11.04Z,3
72.20Z,16
92.5C,5
42.91Z,6
87.10A,71
64.20Z,1201
25.12Z,23
52.7H,39
20.1B,12
46.13Z,15
24.20Z,1
85.31Z,52
86.90E,1552
90.01Z,855
01.43Z,265
03.22Z,16
74.3B,6
48.07,25
71.3G,17
46.71Z,43
52.29B,61
51.5C,9
58.08,5
17.5G,3
01.74,1
77.10,44
29.3C,54
46.73B,59
38.11Z,33
71.20A,82
82.20Z,39
25.01,2
59.13,12
51.5A,26
31.13,10
44.41,4
66.0A,1
43.32B,271
47.82Z,318
80.4C,51
01.07,8
17.12Z,4
40.1Z,4
47.75Z,79
94.91Z,135
42.22Z,40
38.31Z,25
77.12Z,39
52.2G,17
51.8P,14
94.92Z,9
15.8T,3
15.07,2
52.4R,167
56.10C,1432
74.10Z,261
74.90A,92
33.20C,14
01.16,17
15.9G,9
54.02,8
32.03,1
88.04,2
26.5C,1
82.11Z,182
51.8L,7
43.91A,602
10.32Z,12
87.20A,15
06.01,4
60.20A,2
29.1A,2
55.4C,22
46.44Z,23
93.13Z,48
35.3A,1
40.2C,1
15.11,1
64.41,94
81.30Z,741
86.10Z,98
58.07,4
28.5A,4
49.05,71
45.4L,12
10.73Z,10
25.72Z,2
43.99B,30
29.3D,38
84.11Z,1413
50.4Z,62
01.4B,135
42.21Z,34
59.11,11
64.42,26
20.42Z,18
80.2A,1
52.02,3
22.23Z,19
52.1F,1
50.1Z,248
90.0A,22
46.12B,5
36.5Z,5
79.12Z,13
20.15Z,3
35.13Z,14
52.7C,30
63.3Z,31
25.2G,2
31.6C,1
29.13,1
26.12Z,5
60.2P,13
17.7C,5
85.01,6
77.08,74
83.01,1
33.3Z,8
15.5C,2
28.6C,3
63.4B,7
71.2E,1
01.21Z,807
10.13B,48
55.2C,25
66.30Z,145
13.91Z,6
18.07,2
41.10,1
55.20,2
95.22Z,73
"",235
64.45,42
45.4D,83
60.04,15
54.07,8
35.23Z,5
17.19,1
70.2B,421
23.20Z,7
55.5A,25
95.11,6
20.14Z,10
18.2D,8
51.30,3
71.2C,2
77.14,74
