activitePrincipaleUniteLegale,count
47.99A,2892
58.19Z,40
45.20B,82
33.20A,138
25.73B,14
48.04,2
31.03Z,6
14.31Z,1
71.3E,3
64.11,904
70.3A,451
45.3H,9
61.10Z,84
87.30A,62
63.99Z,14
93.0A,17
34.2A,9
10.31Z,1
15.8P,2
03.40,1
35.4A,1
95.13,1
55.3A,1712
65.12Z,450
46.45Z,63
45.1B,7
92.14,9
01.56,3
93.21,1
43.22A,1477
47.04,115
95.12Z,30
74.09,8
01.63Z,1
15.5A,6
90.0E,1
31.01Z,28
51.9B,20
22.1E,32
71.1A,13
51.3Q,1
25.62A,2
32.2B,3
41.10A,387
67.05,248
64.40,59
26.2A,14
16.01,5
93.0D,475
92.13,1
89.05,7
58.01,3
02.10Z,140
60.2N,19
43.11Z,40
14.39Z,23
11.01Z,55
01.1F,26
73.08,5
25.91Z,1
47.79Z,808
01.11Z,2625
52.3A,114
00.97,478
84.11,64
23.19Z,21
67.12,13
28.30Z,4
27.4D,1
38.22Z,2
01.60,1
77.01,118
49.41A,476
65.02,174
46.23Z,82
24.06,1
23.99Z,12
29.4C,1
21.09,2
24.3Z,5
99.00Z,3
28.15,3
23.01,1
09.90Z,1
26.4B,1
52.4Z,547
95.29Z,819
92.3A,242
64.23,108
46.36Z,11
43.99A,74
47.65Z,63
90.13,3
25.2A,3
60.01,22
85.02,1
44.18,3
44.23,1
44.20,1
55.40,255
68.20A,7295
64.49,405
05.0A,200
51.3J,35
01.50,43
85.1E,116
60.11,3
51.3A,27
14.2A,11
60.20B,6
45.3E,285
49.32Z,657
60.2E,148
53.05,7
46.46Z,76
80.04,27
84.24Z,11
18.1Z,1
45.2J,225
36.6E,35
55.60,902
52.22Z,8
55.31,8
73.09,2
45.2R,2
15.8D,80
56.30Z,1393
86.22A,278
64.1C,23
80.30Z,24
18.20Z,26
75.04,5
22.19Z,4
15.5B,1
32.99Z,164
74.5A,36
36.2C,7
01.2E,23
46.11Z,82
72.2Z,52
15.8B,49
21.08,50
92.15,7
99.0Z,3
82.04,2
95.24,2
91.02,6
52.21Z,79
29.1D,1
36.00Z,164
49.01,75
56.21Z,444
52.29A,51
95.11Z,465
17.29Z,21
54.05,6
85.3A,1
96.21,3
28.12,1
62.11,401
85.1C,562
30.99Z,7
20.4Z,6
22.01,4
23.49Z,1
46.49Z,307
50.2Z,296
47.77Z,154
58.05,3
64.44,28
54.04,5
64.11Z,2
92.3J,4
45.4J,418
01.47Z,128
47.52A,161
78.20Z,282
13.30Z,12
11.07B,1
80.2C,1
18.2G,6
55.13,2
86.90C,3
77.32Z,132
15.13,1
73.20Z,53
51.1G,22
70.02,1
81.22Z,215
52.4V,84
52.4Y,28
27.5G,3
80.4D,152
43.34Z,2068
95.21Z,62
88.99A,13
22.1G,16
93.19Z,821
81.29B,64
80.20Z,70
15.9J,16
36.4Z,13
17.4A,4
28.10,2
21.02,4
92.5A,2
93.0N,304
52.4X,251
79.02,14
25.61Z,66
72.20Z,51
92.5C,15
46.74A,31
47.02,11
28.11Z,2
11.04Z,5
42.91Z,13
54.08,7
49.20Z,1
17.5C,1
87.10A,101
64.20Z,2791
25.12Z,25
46.13Z,33
52.7H,71
24.44Z,1
20.1B,8
24.20Z,2
01.43Z,1386
90.01Z,1559
86.90E,3277
85.31Z,153
74.3B,20
52.29B,115
51.5C,11
46.71Z,118
71.3G,31
17.5G,15
03.22Z,23
58.08,3
48.07,2
38.11Z,72
71.20A,139
59.13,46
77.10,105
31.13,4
82.20Z,83
46.73B,91
51.5A,18
29.3C,15
25.01,4
44.41,6
62.1Z,1
66.0A,3
01.07,41
80.4C,152
43.32B,396
47.82Z,864
40.1Z,9
17.12Z,1
94.91Z,304
47.75Z,158
77.12Z,62
51.8P,22
52.2G,58
94.92Z,15
38.31Z,10
42.22Z,22
15.07,1
56.10C,2384
52.4R,286
74.10Z,798
33.20C,37
74.90A,240
88.04,14
32.03,9
54.02,3
01.16,4
82.11Z,274
43.91A,329
87.20A,13
10.32Z,4
06.01,5
29.1A,2
22.3C,2
51.8L,8
60.20A,3
55.4C,16
46.44Z,28
93.13Z,76
61.1A,2
49.05,88
28.5A,21
81.30Z,1335
25.72Z,6
64.41,107
86.10Z,327
10.73Z,6
45.4L,26
58.07,1
32.05,3
20.16Z,4
84.11Z,3304
50.4Z,81
01.4B,196
64.42,46
42.21Z,35
43.99B,71
59.11,19
29.3D,6
28.21Z,4
92.2F,1
20.42Z,27
52.1F,33
80.2A,7
74.06,1
22.23Z,24
52.02,3
27.4F,2
45.2N,2
52.7C,45
50.1Z,376
46.12B,19
63.3Z,39
90.0A,31
25.2G,18
79.12Z,50
35.13Z,15
36.6C,3
20.15Z,5
36.5Z,10
29.13,1
31.6C,1
26.12Z,26
85.01,6
60.2P,19
17.7C,3
77.08,119
15.5C,19
63.4B,10
33.3Z,19
28.6C,3
71.2E,1
55.2C,53
10.13B,196
66.30Z,249
55.20,2
13.91Z,6
01.21Z,41
18.07,1
45.4D,136
95.22Z,84
"",146
64.45,74
17.19,2
60.04,18
54.07,6
35.23Z,12
27.1Z,1
14.20Z,4
70.2B,120
71.2C,4
18.2D,18
51.30,14
95.11,4
55.5A,52
20.14Z,8
84.01,2
77.14,196
92.1J,20
85.1G,547
29.32Z,45
33.11Z,28
59.05,5
17.3Z,2
17.21B,3
89.07,1
41.08,1
97.11,2
29.5L,1
43.39Z,438
01.3Z,1300
22.29B,37
01.4A,207
43.12B,34
10.52Z,16
64.2D,1
25.1E,2
34.3Z,10
96.16,4
37.02,1
55.20Z,1256
87.01,156
02.10,3
93.12Z,1923
43.22B,566
94.11Z,205
43.29B,115
72.11Z,32
69.22,9
29.4A,7
25.2H,16
11.01,1
26.51B,28
03.30,3
87.02,3
03.20,2
43.32A,2197
46.42Z,144
01.2G,31
11.02B,1
65.1E,1
46.24Z,1
30.0A,2
00.10,237
58.10,2
56.29B,144
00.30,3
44.42,6
15.8M,3
28.1C,9
58.12,41
93.11Z,138
59.12,12
25.62B,201
60.07,39
85.3H,8
29.31Z,9
29.1C,2
33.4A,2
74.1G,438
67.09,59
72.19Z,121
58.06,19
72.5Z,37
46.22Z,28
69.25,27
47.01,21
91.3C,2
28.93Z,9
85.3E,5
28.3B,2
74.30Z,442
51.1A,17
57.11,15
21.11,10
36.1G,98
47.11B,580
38.32Z,234
79.11Z,147
47.11C,156
96.03Z,250
70.1F,122
84.30B,26
63.4A,24
20.13B,6
01.64Z,1
73.04,1
52.2P,118
92.3B,66
57.02,59
52.2A,120
47.61Z,106
46.66Z,43
27.33Z,8
20.5C,2
30.02,1
65.06,265
59.20Z,98
64.19Z,587
71.1Z,22
51.8N,18
45.2L,32
86.10,44
84.30A,38
46.41Z,30
30.30Z,5
53.04,1
74.07,2
63.01,1
80.02,13
26.6E,1
77.13,3
43.32C,100
87.06,62
51.5H,11
