activitePrincipaleUniteLegale,count
47.99A,4088
58.19Z,207
45.20B,178
33.20A,221
48.04,18
25.73B,9
71.3E,12
31.03Z,7
64.11,2783
70.3A,3235
93.0A,39
87.30A,208
61.10Z,211
63.99Z,63
45.3H,67
15.8P,29
35.4A,2
10.31Z,3
03.40,1
34.2A,8
95.13,1
01.12Z,1
55.3A,4853
46.45Z,522
92.14,3
45.1B,32
65.12Z,572
93.21,16
33.03,5
47.04,448
43.22A,4960
74.09,50
95.12Z,85
26.3Z,2
15.5A,1
90.0E,5
22.1E,152
25.62A,8
24.01,2
71.1A,84
51.9B,78
32.2B,27
31.01Z,31
51.3Q,21
64.40,257
41.10A,1835
26.2A,154
67.05,153
16.01,30
28.11,1
93.0D,1244
58.01,35
89.05,8
23.65Z,1
92.13,4
60.2N,88
02.10Z,43
43.11Z,109
01.1F,71
65.1A,1
14.39Z,12
11.01Z,24
01.44Z,2
25.91Z,2
73.08,2
00.97,3243
52.3A,328
47.79Z,1471
01.11Z,145
84.11,318
23.19Z,36
28.30Z,7
67.12,35
01.60,4
38.22Z,11
27.4D,1
49.41A,777
65.02,429
77.01,610
23.99Z,10
21.09,2
99.00Z,33
24.3Z,8
28.15,19
46.23Z,12
23.01,2
09.90Z,1
29.4C,1
44.22,2
24.06,2
64.23,346
52.4Z,1920
95.29Z,1123
92.3A,769
43.99A,678
25.2A,5
47.65Z,201
46.36Z,38
60.01,20
85.02,1
90.13,4
44.18,2
29.4B,3
44.23,3
44.20,2
64.49,1476
68.20A,50249
55.40,782
85.1E,489
05.0A,33
51.3J,105
51.3A,127
60.20B,9
14.2A,10
60.11,14
01.50,3
60.2E,779
49.32Z,6252
46.46Z,307
45.3E,1111
53.05,30
80.04,42
24.11,3
84.24Z,12
18.1Z,7
90.0G,5
55.60,4161
36.6E,128
52.22Z,177
45.2R,7
45.2J,55
55.31,13
73.09,1
15.8D,193
86.22A,469
56.30Z,2090
18.20Z,36
64.1C,67
80.30Z,133
85.10Z,8
31.2B,4
75.04,12
22.19Z,16
36.2C,164
32.99Z,379
74.5A,60
21.08,88
72.2Z,313
15.8B,121
46.11Z,52
99.0Z,4
92.15,7
01.2E,2
82.04,6
95.24,1
49.01,471
91.02,3
52.21Z,355
36.00Z,110
29.1D,4
93.11,3
54.05,15
56.21Z,1560
95.11Z,809
45.2C,8
52.29A,171
17.29Z,40
28.12,4
96.21,1
62.11,1558
85.1C,1376
20.4Z,7
23.49Z,20
22.01,1
50.2Z,1142
46.49Z,946
47.77Z,769
64.44,119
54.04,204
58.05,47
92.3J,15
64.11Z,2
45.4J,1972
47.52A,557
78.20Z,618
13.30Z,36
01.47Z,108
11.07B,13
80.2C,5
55.13,11
18.2G,22
86.90C,2
77.32Z,218
73.20Z,282
51.1G,108
15.13,27
52.4Y,50
52.4V,248
81.22Z,888
27.5G,2
43.34Z,9229
80.4D,383
95.21Z,164
22.1G,30
88.99A,31
44.32,1
81.29B,670
36.4Z,17
80.20Z,323
93.19Z,1115
21.02,16
17.4A,18
92.5A,2
28.10,3
93.0N,959
72.20Z,143
92.5C,9
52.4X,527
46.74A,106
54.08,35
47.02,152
42.91Z,58
25.61Z,49
33.1A,6
79.02,11
17.5C,1
28.11Z,6
49.20Z,1
11.04Z,4
52.7H,268
64.20Z,5678
25.12Z,203
87.10A,250
46.13Z,121
20.1B,40
13.10,4
24.20Z,2
29.16,2
90.01Z,3150
74.3B,38
86.90E,10095
17.5G,28
03.22Z,22
01.43Z,189
85.31Z,233
58.08,57
52.29B,327
71.3G,70
73.03,4
46.71Z,184
48.07,16
51.5C,12
77.10,386
82.20Z,199
25.01,4
71.20A,149
38.11Z,119
59.13,129
46.73B,257
66.0A,6
31.13,29
62.1Z,14
44.41,9
51.5A,24
29.3C,10
00.11,2
80.4C,377
43.32B,2022
47.82Z,1594
40.1Z,13
17.7A,1
17.12Z,2
01.07,2
77.12Z,162
52.2G,341
47.75Z,905
94.91Z,386
38.31Z,74
42.22Z,71
15.07,25
94.92Z,21
50.03,3
15.8T,8
51.8P,6
15.4C,4
52.4R,812
74.10Z,3556
54.02,24
56.10C,9058
74.90A,740
33.20C,47
40.34,3
88.04,23
32.03,5
01.16,6
15.9G,2
82.11Z,1593
43.91A,372
10.32Z,20
22.3C,8
51.8L,32
29.1A,9
87.20A,17
06.01,4
60.20A,7
24.05,1
93.13Z,179
46.44Z,170
61.1A,14
55.4C,19
14.03,2
49.05,311
64.41,181
81.30Z,4916
86.10Z,361
45.4L,55
25.72Z,49
10.73Z,110
17.15,1
58.07,11
32.05,53
28.5A,27
20.16Z,18
01.4B,625
50.4Z,164
64.42,56
43.99B,179
84.11Z,1917
59.11,90
42.21Z,92
29.3D,8
17.24Z,2
23.31Z,7
28.21Z,3
20.42Z,289
80.2A,8
74.06,14
22.23Z,39
52.02,11
52.1F,2
50.1Z,926
25.2G,38
79.12Z,253
52.7C,142
46.12B,50
63.3Z,206
90.0A,45
36.6C,2
35.13Z,32
36.5Z,18
29.13,9
20.15Z,4
31.6C,4
26.12Z,51
17.7C,13
60.2P,26
85.01,11
77.08,264
28.6C,5
83.01,20
33.3Z,35
99.01,4
71.2E,11
63.4B,11
15.5C,5
29.21,1
66.30Z,636
13.91Z,8
01.21Z,192
10.13B,124
55.2C,88
18.07,8
55.20,4
41.10,3
64.45,240
45.4D,565
60.04,50
"",527
54.07,55
95.22Z,186
14.20Z,17
35.23Z,18
17.19,2
24.41Z,3
51.30,33
18.2D,77
70.2B,9
71.2C,22
55.5A,77
20.14Z,12
95.11,1
77.14,764
85.1G,2061
17.21B,13
29.32Z,38
33.11Z,50
92.1J,18
89.07,10
41.08,4
29.5L,8
17.3Z,1
59.05,8
43.39Z,2976
10.52Z,93
43.12B,144
01.4A,152
96.16,7
29.2L,1
34.3Z,11
22.29B,38
01.3Z,35
64.2D,12
25.1E,9
87.01,566
55.20Z,1283
02.10,4
29.1F,4
72.11Z,91
43.22B,1929
93.12Z,2927
43.29B,661
94.11Z,185
26.51B,38
69.22,34
87.02,17
03.30,2
17.5A,3
25.2H,9
13.11,2
11.01,3
43.32A,2993
46.42Z,780
01.2G,26
11.02B,7
15.11Z,5
46.24Z,13
46.35Z,2
30.0A,1
28.1C,122
00.10,696
58.10,24
56.29B,345
00.30,13
44.42,33
15.8M,55
58.12,318
29.31Z,10
93.11Z,337
25.62B,150
60.07,106
59.12,51
33.4A,12
85.3H,3
29.1C,4
74.1G,2035
67.09,349
46.22Z,135
69.25,33
58.06,239
72.19Z,516
47.01,149
72.5Z,108
95.12,1
85.3E,8
28.3B,2
28.93Z,8
91.3C,3
74.30Z,1552
57.11,99
21.11,50
51.1A,31
35.1A,1
47.11B,1856
79.11Z,659
70.1F,1464
47.11C,375
38.32Z,210
96.03Z,483
36.1G,324
63.4A,83
84.30B,71
20.13B,5
52.2A,717
47.61Z,217
52.2P,557
92.3B,132
46.66Z,97
27.33Z,12
30.02,9
20.5C,14
57.02,4
24.4A,1
65.06,941
46.41Z,203
59.20Z,280
86.10,161
64.19Z,1162
45.2L,66
84.30A,90
71.1Z,98
51.8N,54
53.04,12
30.30Z,11
63.01,1
26.6E,42
77.13,29
80.02,33
32.1D,7
31.5A,2
51.5H,48
43.32C,530
87.06,229
28.7C,3
32.1B,14
29.1J,2
71.4A,9
44.40,1
50.06,1
55.70,284
01.24Z,104
13.92Z,314
21.07,83
65.2E,76
59.13B,68
23.63Z,53
13.01,2
46.38B,335
86.23Z,3634
49.39A,184
39.00Z,19
57.07,34
02.20Z,66
46.62Z,23
51.8H,28
74.04,2
22.3E,2
55.4B,781
20.53Z,135
36.6A,66
37.00Z,138
84.06,2
21.2C,2
03.21Z,16
91.04,2
62.42,120
22.2J,146
46.17B,262
71.12A,169
67.13,71
17.13,2
37.01,3
52.6E,1684
96.25,18
28.7E,7
86.08,61
29.5E,17
26.20Z,22
35.3B,12
25.03,5
32.91Z,3
47.74Z,491
26.7Z,34
10.85Z,106
97.22,26
21.2L,13
11.02A,3
55.11,5
43.33Z,2602
74.1J,4339
51.4Q,18
68.32B,668
65.2A,5
73.07,10
20.41Z,33
45.5Z,4
15.9S,1
67.1E,189
74.20Z,2010
51.1C,34
85.3B,13
47.22Z,1108
64.12,207
01.80,76
44.21,39
37.2Z,25
17.2A,7
16.10B,61
14.1A,20
24.2Z,7
74.08,1
56.10A,9997
47.11D,360
64.30Z,477
51.3T,167
46.72Z,99
86.01,15
85.32Z,205
86.90D,11876
96.02A,4918
82.19Z,3007
51.1R,1114
65.2F,3
24.5A,15
36.1E,46
55.90Z,66
17.6Z,2
51.4R,8
51.8E,1
98.01,1
46.19B,8823
71.2A,82
29.5P,4
07.01,1
55.3B,2238
31.09B,928
47.23Z,193
78.02,466
77.31Z,24
01.25Z,75
87.10C,4
28.4A,3
63.05,97
45.3A,1416
73.12Z,608
57.04,40
69.12,406
30.91Z,2
85.42Z,409
46.69B,518
85.20Z,65
48.05,12
31.16,2
21.05,1
33.19Z,29
55.1E,50
51.5N,36
29.11,47
23.32Z,4
47.11E,11
64.24,449
77.04,90
52.4E,281
46.76Z,133
60.05,36
51.3C,43
01.00,13
70.1C,97
58.11,44
38.12Z,10
51.3N,27
94.12Z,103
61.20Z,101
61.01,13
55.30Z,194
52.7D,99
29.2C,56
59.07,36
10.89Z,119
86.11,11
50.30Z,9
29.5N,4
89.04,3
24.42Z,3
87.04,393
15.5F,23
50.10Z,193
43.91B,478
46.64Z,10
26.51A,32
47.53Z,127
72.2A,104
18.3Z,26
47.05,16
36.10,8
81.11,659
94.99Z,11890
67.2Z,891
21.20Z,39
92.18,8
60.08,8
14.13Z,755
70.10Z,1918
62.45,253
77.05,303
49.31Z,162
47.76Z,1152
77.29Z,489
28.2D,8
85.60Z,193
01.4D,6
24.4C,9
10.71A,47
31.5C,41
24.10Z,2
08.11Z,17
21.1C,3
15.09,4
82.06,207
91.02Z,28
45.2F,12
31.4Z,1
10.51A,1
74.02,1
88.91B,1
47.21Z,934
82.99Z,2719
47.59A,1130
79.90Z,526
02.20,16
32.20Z,45
28.99B,20
41.10C,78
66.12Z,99
01.57,4
46.37Z,58
17.16,1
80.4A,191
23.41Z,379
85.1A,53
22.2A,18
01.63,7
15.02,5
18.10,2
48.02,26
36.1K,337
78.10Z,121
79.05,33
47.19A,9
17.27,4
79.06,1739
86.06,246
45.3F,401
52.7A,116
15.12Z,341
63.12Z,676
18.11,52
75.1G,7
11.07A,4
32.11Z,1
75.3C,1
56.29A,393
46.16Z,192
33.15Z,1389
93.21Z,183
51.4N,102
39.02,25
92.21,39
92.1F,7
47.03,14
51.6N,18
28.12Z,24
15.8A,21
20.1A,19
26.1J,12
23.42Z,4
95.22,6
49.06,1
14.12Z,2
24.03,63
38.50,205
94.20Z,190
00.99,58
90.04Z,97
49.10Z,80
20.59Z,15
91.1C,4
32.1A,4
61.2Z,1
53.03,7
17.5E,1
51.1T,2896
25.50B,29
28.15Z,2
74.1A,677
23.70Z,256
01.30Z,238
59.11B,447
50.3B,123
26.52Z,20
22.1A,159
58.12Z,16
51.9A,24
58.29B,41
28.7P,27
51.3S,57
96.18,7
29.2A,5
71.01,5
34.02,6
01.90,10
02.0D,4
86.22C,3550
25.94Z,7
47.52B,137
47.43Z,194
58.21Z,25
96.15,4
59.02,9
33.4B,9
66.0E,8
15.3C,1
67.01,3712
52.2J,260
01.28Z,109
13.10Z,10
15.8F,12
27.3G,1
24.54Z,7
87.30B,36
92.3H,84
66.19B,1116
47.78C,4757
28.18,6
46.63Z,91
02.0B,30
74.8D,32
52.10A,3
92.2B,16
35.1B,4
78.01,71
71.4B,450
64.14,196
67.03,136
17.22Z,11
27.90Z,51
63.1B,6
31.3Z,3
26.2G,2
74.8A,280
63.11Z,500
47.72A,800
75.1E,8
15.08,13
74.05,10
84.05,13
37.03,2
84.03,9
00.00Z,2558
45.4M,677
87.03,1078
64.47,282
86.12,117
64.2B,110
01.1G,20
28.16,14
51.6J,178
74.01,8
25.71Z,17
17.21C,14
54.03,179
69.23,794
47.78A,627
74.7Z,1490
82.30Z,1665
26.1E,20
46.34Z,422
60.2C,9
45.4A,218
70.3E,113
60.10Z,97
51.12,93
31.21,1
28.29B,37
25.40Z,3
51.4D,24
26.6C,4
24.02,4
92.12,3
29.2J,2
90.12,44
62.43,974
70.1A,784
47.64Z,1181
46.21Z,38
40.11,4
45.2P,58
22.3A,10
84.04,5
28.7N,2
26.80Z,1
55.73,2908
72.3Z,226
77.21Z,672
77.03,237
84.08,70
26.40Z,32
85.04,35
85.3J,59
17.14,2
23.03,7
66.03,66
62.01Z,3845
52.2L,108
49.03,26
85.1H,79
01.70,11
15.05,3
29.5D,1
26.5E,1
41.10B,47
42.99Z,248
55.71,987
31.02Z,59
63.4C,57
51.3G,38
55.12,132
43.29A,185
10.82Z,82
24.53Z,2
29.4E,1
25.92Z,3
62.41,943
46.18Z,1498
01.50Z,168
10.71B,160
66.29Z,108
23.69Z,37
46.17A,20
91.2Z,8
01.22Z,3
51.2G,8
21.2G,2
46.19A,43
77.34Z,180
43.21B,27
84.13,86
59.10,73
70.01,2
49.41C,50
46.33Z,51
84.12Z,146
28.1A,36
28.19,14
27.31Z,2
29.20Z,33
40.12,8
35.01,6
21.2B,12
13.96Z,11
51.21Z,6
31.17,1
24.51Z,2
81.21,1670
77.12,333
01.45Z,430
52.3E,374
95.23Z,175
64.30,274
62.12,22
59.14Z,70
52.7F,29
15.10,1
87.90A,131
01.1C,300
55.2E,94
77.40Z,183
36.1J,15
46.74B,150
49.04,33
27.51Z,5
50.04,5
96.24,7
85.53Z,620
43.31Z,1376
47.62Z,815
91.3E,653
51.4S,781
47.26Z,353
45.2T,29
25.99A,14
75.3A,5
27.2C,2
51.1P,9
29.12,5
17.21A,2
19.20Z,30
45.4C,478
47.54Z,335
43.99D,671
03.12Z,8
60.03,30
28.3C,54
23.13Z,46
22.22Z,19
61.03,1
48.06,1
87.09,6
45.11,1
70.2C,3132
47.24Z,437
27.40Z,101
11.05Z,38
36.1C,9
92.3K,22
92.1B,54
69.21,9
41.02,6
18.08,5
24.1E,3
29.2M,7
02.40Z,76
81.29A,208
95.24Z,250
57.01,34
24.04,3
17.25,2
27.02,6
55.2A,3
44.38,1
47.71Z,5555
77.06,61
44.34,12
30.03,5
61.1B,14
62.22,1
51.5L,41
90.03A,4444
82.05,89
51.1L,154
77.15,15
51.3E,8
26.2J,15
52.03,7
66.0G,89
22.21Z,10
14.02,2
45.2E,16
74.6Z,487
45.1A,368
51.7Z,96
67.06,95
52.1H,11
89.02,2
52.24A,8
26.4C,7
25.29Z,2
15.8R,1
77.39Z,384
46.39B,421
16.29Z,227
18.2C,172
77.35Z,32
74.03,23
31.1C,17
57.06,4
51.01,18
15.9B,2
81.10Z,7161
77.11,72
86.07,178
61.90Z,574
10.41B,10
46.61Z,52
28.29A,7
51.3D,10
95.0Z,4
46.90Z,1528
60.2B,48
46.15Z,93
35.14Z,15
65.11Z,66
15.7A,1
40.2Z,1
20.12Z,2
52.01,1
87.08,685
58.09,69
87.10,17
36.20,25
61.30Z,8
67.07,213
49.39B,780
47.78B,93
45.31Z,241
01.2A,11
55.10,180
96.02B,5665
86.21Z,5497
47.19B,587
85.3D,91
52.24B,109
92.1D,37
67.1A,5
70.1B,20
95.23,2
24.43Z,1
63.1D,5
24.6J,3
34.06,171
85.52Z,1631
85.3K,59
28.21,71
49.39C,12
50.07,11
31.1A,4
48.01,14
42.13A,10
73.01,3
64.48,113
50.3A,72
45.2A,160
73.06,20
45.23,35
91.01Z,10
11.03Z,2
32.1C,7
17.2J,1
26.8C,4
93.0E,588
62.21,36
85.1K,90
46.32C,7
62.2Z,17
40.32,13
44.31,10
44.36,1
08.99Z,2
28.25Z,69
71.11Z,2919
52.2C,807
21.15,6
20.60Z,1
55.2F,10
08.01,1
20.17Z,1
79.01,632
47.73Z,998
39.08,2
77.02,71
52.1A,67
74.8K,1368
01.2C,75
45.32Z,531
51.10Z,160
80.06,138
46.75Z,99
80.01,1
87.07,434
51.1E,74
51.8M,69
52.3C,48
15.1E,50
38.21Z,61
28.13Z,5
24.6L,3
10.71D,346
47.81Z,1705
74.4B,729
86.90A,469
20.5A,94
57.08,69
77.33Z,38
24.4D,6
49.50Z,15
23.2Z,3
46.69C,504
52.6B,134
46.14Z,197
15.2Z,7
87.10B,30
20.2Z,3
68.31Z,13275
51.4H,21
51.6G,237
25.11Z,150
60.02,8
45.2U,65
01.41Z,45
85.1L,6
84.25Z,43
25.93Z,16
67.10,1
64.22,156
88.10A,1136
22.1J,40
46.69A,269
01.16Z,1
01.42Z,82
56.10B,66
10.13A,9
29.5G,1
15.9D,2
85.59A,3037
01.26Z,420
85.59B,3141
57.10,87
19.2Z,65
93.0H,79
21.2A,3
21.10Z,3
17.4B,1
15.9A,1
28.6F,28
24.6E,37
20.01,1
60.06,55
22.29A,35
37.1Z,38
33.01,1
29.7C,2
62.44,262
33.14Z,79
80.08,64
51.4F,106
03.10,22
29.15,11
22.02,16
34.1Z,4
40.37,15
43.99C,15456
02.30Z,29
51.5Q,2
19.3Z,30
01.2J,63
51.5E,52
92.1G,29
26.11Z,44
36.1M,12
44.39,1
52.5Z,795
49.41B,1286
64.92Z,173
51.8C,11
55.5C,58
16.02,6
70.21Z,2440
30.92Z,8
17.4C,45
72.4Z,94
46.32B,20
24.07,1
19.02,2
02.0A,3
46.31Z,225
10.71C,1652
75.1A,30
15.1F,143
25.73A,14
51.20,83
23.62Z,2
97.23,69
47.51Z,431
26.30Z,50
88.10B,86
32.3Z,7
27.20Z,3
01.61Z,184
82.92Z,90
33.13Z,38
41.0Z,38
18.05,5
63.03,1
45.20A,3852
62.03Z,157
56.02,27
51.4J,103
33.20B,165
90.0B,24
52.1C,83
29.2D,12
67.11,2
43.99E,30
28.23Z,1
96.22,5
67.04,648
96.04Z,1821
18.2J,68
15.3E,1
85.41Z,16
31.09A,40
92.16,5
24.45Z,4
16.04,2
55.10Z,2522
64.21,277
41.20A,1560
66.21Z,192
92.6A,172
36.1A,34
55.50,33
90.0C,5
65.30Z,5
85.3C,10
84.02,6
27.4K,1
05.0C,8
42.11Z,100
51.2A,17
15.3F,2
00.98,425
60.09,326
96.09Z,7317
86.02,37
33.2B,42
16.03,9
31.12,10
52.6G,96
22.2E,9
59.03,3
32.50A,792
51.6A,18
33.12Z,301
80.10Z,1433
95.25Z,80
91.04Z,26
13.99Z,76
47.11A,63
27.52Z,6
74.2C,1493
81.21Z,8606
26.1C,27
20.3Z,47
77.11A,776
24.08,34
46.47Z,133
30.0C,22
28.22Z,32
21.04,19
15.4A,4
31.1B,3
72.6Z,7
23.04,1
55.1D,185
18.12Z,472
35.11Z,666
52.23Z,88
82.91Z,52
10.86Z,19
27.4C,3
28.7L,12
40.3Z,3
20.52Z,2
17.28,1
43.12A,1384
92.1C,39
03.11Z,182
52.2E,149
51.4L,168
74.8J,178
69.24,69
84.07,5
35.22Z,13
28.91Z,8
10.12Z,3
33.17Z,5
47.41Z,632
63.91Z,179
70.3D,37
74.10,19
27.4A,2
01.70Z,1
84.10,742
74.4A,363
45.21,35
46.52Z,460
32.2A,31
84.30C,36
80.05,12
47.72B,262
10.11Z,33
64.13,120
86.04,38
51.8J,60
21.2E,3
28.7Q,8
23.51Z,8
74.8B,61
47.91A,2019
00.50,2
96.12,1
24.6C,1
52.4C,2420
91.3A,33
92.3F,49
16.21Z,5
29.2K,14
45.1D,2
40.1E,2
51.11,124
93.0B,534
33.20D,188
67.02,17
20.02,4
28.6D,3
53.02,13
37.04,6
29.14,51
64.2C,124
46.73A,657
93.0G,8
79.03,1318
45.40Z,708
40.31,15
74.5B,73
31.15,8
22.11Z,6
13.93Z,4
58.04,134
55.1A,838
21.13,9
63.2A,39
72.1Z,574
33.1B,243
29.2F,68
97.12,9
47.08,26
30.11Z,28
59.01,3
86.03,6
13.94Z,3
10.39A,11
41.10D,4224
01.13Z,1138
67.08,855
91.1A,14
52.4U,34
28.13,5
35.30Z,58
31.2A,24
30.01,16
01.14Z,3
74.2A,616
90.03B,2824
01.49Z,1017
45.11Z,3146
28.5C,4
59.12Z,137
35.1C,83
88.02,6
47.29Z,1275
14.19Z,234
92.2A,36
29.2H,3
80.03,1
26.6L,9
52.2N,59
16.23Z,100
78.30Z,187
62.02B,348
47.30Z,560
46.43Z,152
