categorieJuridiqueUniteLegale,count
3210,2
2110,1133
7362,181
6558,2
2700,32
7378,1
7364,203
5543,1
2200,149
5498,26614
7353,330
5306,71
6300,13
5458,85
5546,18
5520,4
7160,23
6538,20
9221,12
6571,47
6533,2471
5193,9
4130,515
8110,67
7351,30
2385,33
2100,20
8490,45
5599,5129
5553,18
9110,2386
5632,2
5515,49
6100,8
7490,5
5615,3
7323,92
5195,1
8290,4
5192,260
5510,182
6568,3
5308,75
9300,46
8160,7
6567,4
4150,6
6577,7
5499,44127
7171,207
5432,5
7379,3
5660,10
2210,1210
6573,120
5669,2
6536,111
8200,7
6210,4
4160,3
7382,2
6588,1
7321,137
6200,34
9220,25349
5196,102
8420,71
5699,461
4140,19
2300,10
7373,5
6500,90
6521,10
2900,227
5191,6
8170,13
6317,263
5710,15578
5770,33
5453,17
5651,17
6575,14
5400,40
7385,41
5194,8
7361,739
5554,18
1000,188535
7363,3
7348,39
5551,13
9240,53
7220,90
5658,5
7345,45
7450,15
5532,22
5555,1
9230,113
6901,71
6572,4
8410,88
7354,88
9200,1
7179,34
5558,50
9260,4
6220,582
3220,247
6565,95
7383,89
4110,17
5720,8218
6574,23
5200,25
7120,31
6599,5094
6578,19
5552,6
8450,56
7331,122
6589,1563
8250,326
7366,49
4100,36
5100,2
6596,162
6318,22
9900,166
8470,7
5410,20
8140,4
6595,179
5620,1
4120,161
6411,98
7365,1
9150,40
6562,9
7112,1
7230,4
6560,13
5370,1
5585,15
7346,240
6542,40
8210,235
5785,114
6543,216
8120,4
7210,2700
5560,255
5451,4
5530,1
5610,11
6551,2
8100,1
6511,17
6566,5
5455,2
6598,3634
5460,67
7355,30
7200,4
7389,150
5652,1
5470,187
5385,2
6561,76
5622,2
5685,6
7410,46
5202,2047
2120,13
6554,2
2220,12
6532,9
7130,2
6585,64
7520,5
6539,3
6316,631
5547,19
6540,37035
9222,27
5800,32
9100,4
9224,5
2320,5
5459,2
5559,3
7381,101
7190,1
7510,436
5485,1297
5500,21
7344,23
8510,1
8311,54
6564,27
7384,10
6597,724
9210,70
6563,12
3290,49
6541,2095
7172,339
2310,48
8130,12
9970,8
6535,4
7371,5
7372,6
7322,1
8400,1
8310,80
7367,32
7357,2
9223,161
6534,599
7470,11
6576,41
3120,275
7340,1
