categorieJuridiqueUniteLegale,count
3210,1
2110,383
7362,9
2700,21
7378,2
7364,205
5543,3
7353,312
5498,5504
2200,127
5306,11
6300,6
5458,15
5546,8
7160,1
6538,18
9221,2
6571,39
6533,958
4130,240
8110,41
7351,9
2100,17
8490,2
2385,4
5599,2262
5553,6
9110,237
5515,39
6100,6
7490,1
7323,196
7313,1
8290,1
5192,27
5510,121
5308,35
9300,4
8160,2
6567,1
3110,1
6577,2
4150,10
5499,16934
7171,49
7379,9
5660,35
2210,538
6573,36
6536,186
6210,1
4160,3
7321,131
6200,7
9220,7143
5196,41
8420,33
5699,121
4140,44
2300,2
7312,5
7373,1
6500,12
5307,2
2900,115
5191,2
8170,23
6317,104
5710,4874
5770,3
5453,9
6575,7
5400,17
7385,12
5194,1
7361,605
1000,72134
7363,1
5551,10
7348,23
9240,4
7220,25
5658,1
7345,40
7450,10
5532,9
9230,154
6572,13
7356,70
7354,76
8410,35
7179,8
5558,21
9260,42
6220,125
3220,69
6565,21
7383,23
6537,1
4110,13
5720,2742
6574,9
7120,6
5200,4
6599,1156
6578,5
5552,2
8450,13
7331,93
6589,286
7366,69
4100,2
8250,22
6596,83
6318,2
9900,197
5410,6
8470,1
8140,3
6595,30
4120,116
6411,33
7365,9
9150,6
6562,1
7230,1
6560,3
7346,167
5585,1
6542,9
5659,1
8210,121
8120,1
5785,33
6543,2
7210,2447
5560,31
5530,1
5451,3
5610,1
6511,22
6566,1
6598,536
5460,27
7355,12
7389,54
5470,5
5385,4
6561,26
5685,4
7410,31
5202,513
2120,9
2220,3
6532,8
6585,45
7520,3
6316,106
5547,2
6540,12290
9222,1
5800,5
9100,12
9224,2
2320,1
7381,29
7510,129
5485,300
5500,13
8311,57
6564,13
7384,1
6597,108
9210,12
3290,2
6541,182
7172,277
2310,13
8130,4
7372,1
9970,2
6535,2
7322,2
8400,8
8310,39
7357,8
9223,27
6534,85
6576,14
7470,5
3120,39
