activitePrincipaleUniteLegale,count
47.99A,3352
58.19Z,31
33.20A,279
45.20B,65
48.04,6
25.73B,16
71.3E,3
14.31Z,2
31.03Z,9
64.11,961
70.3A,610
45.3H,6
61.10Z,70
87.30A,140
93.0A,16
63.99Z,21
34.2A,21
10.31Z,10
95.13,2
15.8P,4
35.4A,1
55.3A,1201
65.12Z,205
45.1B,18
46.45Z,77
01.56,5
92.14,1
93.21,2
43.22A,1617
95.12Z,45
47.04,56
74.09,4
90.0E,3
15.5A,3
01.63Z,1
22.1E,26
51.9B,22
25.62A,3
31.01Z,22
32.2B,16
71.1A,7
24.01,1
51.3Q,1
41.10A,220
67.05,266
16.01,10
64.40,59
26.2A,6
28.11,1
93.0D,461
58.01,8
89.05,6
02.10Z,265
73.08,2
60.2N,24
43.11Z,48
14.39Z,11
25.91Z,4
01.1F,3
11.01Z,2
01.11Z,3305
47.79Z,428
84.11,68
52.3A,131
00.97,11
28.30Z,11
67.12,4
01.60,6
23.19Z,20
38.22Z,11
49.41A,651
77.01,196
46.23Z,46
65.02,124
23.01,6
23.99Z,26
28.15,4
99.00Z,1
26.4B,1
24.3Z,5
29.4C,1
21.09,3
44.22,1
09.90Z,2
24.06,1
52.4Z,381
92.3A,219
95.29Z,578
64.23,91
43.99A,132
47.65Z,77
60.01,22
44.23,1
25.2A,18
46.36Z,13
85.02,5
90.13,1
44.18,4
44.20,1
68.20A,4825
55.40,245
64.49,382
85.1E,124
01.50,13
51.3A,48
51.3J,39
14.2A,16
60.20B,4
05.0A,5
60.11,6
49.32Z,2312
60.2E,332
45.3E,396
80.04,170
53.05,15
46.46Z,86
18.1Z,4
84.24Z,11
44.25,1
45.2J,226
55.60,1077
36.6E,50
55.31,4
73.09,1
52.22Z,3
86.22A,135
56.30Z,1304
15.8D,52
22.19Z,26
80.30Z,28
64.1C,18
18.20Z,8
85.10Z,2
75.04,1
32.99Z,147
74.5A,30
36.2C,14
21.08,101
72.2Z,61
46.11Z,46
15.8B,29
01.2E,12
95.24,3
82.04,1
52.21Z,153
36.00Z,132
49.01,89
29.1D,3
93.11,1
91.02,2
95.11Z,430
56.21Z,467
17.29Z,35
52.29A,46
28.12,4
96.21,1
54.05,3
45.2C,1
85.3A,2
62.11,363
85.1C,406
