categorieJuridiqueUniteLegale,count
3210,12
2110,906
7362,8
6558,1
2700,7
7364,188
7353,429
5498,12155
2200,200
5306,60
6300,19
5458,32
5546,36
7160,7
6538,24
9221,7
6571,89
6533,693
4130,419
8110,80
7351,57
2100,16
8490,9
2385,10
5599,4960
5553,6
9110,1290
5632,1
8300,1
5515,86
6100,5
5615,2
7490,1
5195,388
7323,183
8290,4
5192,71
5510,169
6568,1
9300,59
5308,78
8160,3
3110,5
4150,110
6577,4
5499,48119
7171,155
5432,1
7379,2
5660,9
2210,867
6573,102
6536,101
6210,8
4160,3
7321,233
6200,18
9220,4290
5196,146
8420,92
2300,9
5699,374
4140,24
7312,8
7373,1
6500,49
2900,241
5191,6
8170,19
6317,225
5710,13858
5770,10
5453,2
6575,12
5400,28
7385,19
5194,7
7361,337
1000,162111
7363,1
7348,40
5551,3
7220,32
9240,18
7345,146
5532,7
7450,33
5203,2
9230,126
6901,6
6572,43
7354,93
8410,100
9200,9
7179,35
5558,31
9260,9835
6220,348
3220,525
6565,66
7383,75
5542,1
4110,16
5720,8762
6574,19
5300,1
5200,22
7120,17
6599,2197
6578,12
5552,6
8450,35
7331,205
6589,896
5100,2
7366,58
4100,3
8250,38
6596,116
6318,5
9900,514
8470,2
5410,2
8140,3
6595,104
7342,1
7113,1
4120,324
7365,8
6411,68
9150,25
6562,3
7230,3
6560,7
7346,164
5585,11
6542,35
5659,1
8210,134
5785,179
6543,15
8120,209
7210,3499
5560,63
5646,2
5530,2
5451,1
5610,11
8100,1
6511,8
5455,1
6598,911
7430,724
5460,30
7355,22
7389,151
5470,39
5385,12
6561,58
5685,3
7410,15
5202,1478
2120,6
2220,5
6532,4
7520,20
6585,63
6539,2
6316,135
5547,3
6540,31966
9222,11
5800,10
9224,2
2320,4
5459,1
7381,52
7510,31
5485,787
5500,13
7344,3
8510,2
8311,82
6564,26
7384,7
6597,279
9210,28
3290,8
6541,1511
7172,480
2310,34
8130,13
6535,7
7372,3
7371,2
7322,27
8400,5
8310,47
7367,2
7357,2
9223,13
5570,2
6534,338
6576,36
8190,6
7470,8
3120,566
7340,1
