categorieJuridiqueUniteLegale,count
3210,1
7362,223
2110,390
2700,31
7378,1
7364,216
2200,136
5498,7249
7353,488
5306,46
6300,1
5458,17
5546,7
7160,1
6538,20
9221,19
6571,3
6533,501
4130,273
8110,46
7351,9
2385,10
2100,8
8490,6
5599,2477
5553,4
9110,235
5515,30
6100,52
5615,2
7323,39
8290,1
5192,1
5510,114
5308,42
8160,3
9300,18
6567,4
6577,4
4150,6
5499,24811
7171,39
7379,1
5432,2
2210,557
6573,15
6536,141
6210,4
8200,1
4160,3
6588,1
7321,65
6200,16
9220,9407
5196,1
8420,38
4140,21
5699,198
2300,8
7312,1
6500,26
5307,2
2900,239
5191,2
8170,9
6317,177
5710,7141
5453,9
5770,3
6575,2
5400,40
5194,19
7385,13
7361,798
1000,101855
5551,35
7348,67
9240,13
7220,44
5658,1
7345,140
5532,4
7450,2
5203,1
9230,95
6572,2
8410,32
7354,54
9200,1
7179,16
5558,6
9260,3
3220,90
6220,176
6565,59
7383,8
4110,3
5720,4070
6574,6
5300,2
5200,18
7120,4
6599,3806
6578,8
7229,2
5552,2
8450,24
6589,432
7331,118
7366,42
8250,19
4100,2
6596,176
6318,19
9900,39
5410,42
8140,4
6595,17
4120,145
6411,43
7365,1
9150,15
6562,2
6560,6
7346,230
5585,2
6542,9
8210,115
5785,45
6543,7
7210,2173
5560,30
5646,1
5530,2
6511,15
5455,1
6598,1945
5460,17
7355,14
7389,66
7200,1
5470,32
6561,46
7410,12
5202,852
2120,5
2220,3
6532,1
6585,19
7520,21
6539,2
6316,216
5547,2
6540,14964
9222,19
5800,5
9224,1
2320,3
7381,37
3205,1
7510,116
5485,497
5500,19
8311,27
6564,28
7384,1
6597,760
9210,12
3290,8
6541,170
7172,274
2310,14
8130,1
7371,3
6535,5
7372,1
5309,1
8400,1
7367,12
8310,41
7357,3
9223,142
7100,4
6534,548
6576,21
7470,4
3120,105
